service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
191003_merged_1252193,20200413,20200628,0,0,0,0,0,0,0
126401_merged_1252194,20200413,20200628,0,0,0,0,0,0,0
201_merged_1252246,20200413,20200628,0,0,0,0,0,0,0
5102_merged_1252161,20200302,20200412,0,0,0,0,0,0,0
6201_merged_1252230,20200413,20200628,0,0,0,0,0,0,0
10902_merged_1252148,20200302,20200412,0,0,0,0,0,0,0
6503_merged_1252142,20200302,20200412,0,0,0,0,0,0,0
53401,20200302,20200412,0,0,0,0,0,0,0
1701_merged_1252116,20200302,20200412,0,0,0,0,0,0,0
16901_merged_1252238,20200413,20200628,0,0,0,0,0,0,0
51501_merged_1252145,20200302,20200412,0,0,0,0,0,0,0
5101_merged_1252162,20200302,20200412,0,0,0,0,0,0,0
157602_merged_1252228,20200413,20200628,0,0,0,0,0,0,0
190903_merged_1252111,20200302,20200412,0,0,0,0,0,0,0
24402_merged_1252178,20200302,20200412,0,0,0,0,0,0,0
89203_merged_1252182,20200302,20200412,0,0,0,0,0,0,0
5_merged_1252172,20200302,20200412,0,0,0,0,0,0,0
89202_merged_1252254,20200413,20200628,0,0,0,0,0,0,0
27401_merged_1252119,20200302,20200412,0,0,0,0,0,0,0
89201_merged_1252253,20200413,20200628,0,0,0,0,0,0,0
16902_merged_1252164,20200302,20200412,0,0,0,0,0,0,0
10902_merged_1252221,20200413,20200628,0,0,0,0,0,0,0
6502_merged_1252216,20200413,20200628,0,0,0,0,0,0,0
27401_merged_1252192,20200413,20200628,0,0,0,0,0,0,0
1701_merged_1252189,20200413,20200628,0,0,0,0,0,0,0
16903_merged_1252236,20200413,20200628,0,0,0,0,0,0,0
1_merged_1252244,20200413,20200628,1,1,1,1,1,0,0
51501_merged_1252218,20200413,20200628,0,0,0,0,0,0,0
50201_merged_1252222,20200413,20200628,0,0,0,0,0,0,0
54401,20200302,20200412,0,0,0,0,0,0,0
50101_merged_1252131,20200302,20200412,0,0,0,0,0,0,0
24202_merged_1252211,20200413,20200628,0,0,0,0,0,0,0
75301,20200302,20200412,0,0,0,0,0,0,0
6201_merged_1252157,20200302,20200412,0,0,0,0,0,0,0
24203_merged_1252137,20200302,20200412,0,0,0,0,0,0,0
16903_merged_1252163,20200302,20200412,0,0,0,0,0,0,0
24202_merged_1252138,20200302,20200412,0,0,0,0,0,0,0
202_merged_1252249,20200413,20200628,0,0,0,0,0,0,0
27501_merged_1252214,20200413,20200628,0,0,0,0,0,0,0
27502_merged_1252140,20200302,20200412,0,0,0,0,0,0,0
53001,20200302,20200412,0,0,0,0,0,0,0
27503_merged_1252139,20200302,20200412,0,0,0,0,0,0,0
50301_merged_1252166,20200302,20200412,0,0,0,0,0,0,0
190903_merged_1252184,20200413,20200628,0,0,0,0,0,0,0
24201_merged_1252209,20200413,20200628,0,0,0,0,0,0,0
31102_merged_1252202,20200413,20200628,0,0,0,0,0,0,0
1_merged_1252171,20200302,20200412,1,1,1,1,1,0,0
3_merged_1252200,20200413,20200628,0,0,0,0,0,0,1
89203_merged_1252255,20200413,20200628,0,0,0,0,0,0,0
157603_merged_1252154,20200302,20200412,0,0,0,0,0,0,0
190902_merged_1252112,20200302,20200412,0,0,0,0,0,0,0
22101_merged_1252122,20200302,20200412,0,0,0,0,0,0,0
115101,20200302,20200412,0,0,0,0,0,0,0
6202_merged_1252158,20200302,20200412,0,0,0,0,0,0,0
31101_merged_1252201,20200413,20200628,0,0,0,0,0,0,0
24203_merged_1252210,20200413,20200628,0,0,0,0,0,0,0
2_merged_1252156,20200302,20200412,0,0,0,0,0,1,0
155401_merged_1252197,20200413,20200628,0,0,0,0,0,0,0
6501_merged_1252144,20200302,20200412,0,0,0,0,0,0,0
191002_merged_1252247,20200413,20200628,0,0,0,0,0,0,0
190902_merged_1252185,20200413,20200628,0,0,0,0,0,0,0
3701_merged_1252250,20200413,20200628,0,0,0,0,0,0,0
3103_merged_1252170,20200302,20200412,0,0,0,0,0,0,0
22401_merged_1252198,20200413,20200628,0,0,0,0,0,0,0
27301,20200302,20200412,0,0,0,0,0,0,0
89202_merged_1252181,20200302,20200412,0,0,0,0,0,0,0
3401_merged_1252186,20200413,20200628,0,0,0,0,0,0,0
10901_merged_1252146,20200302,20200412,0,0,0,0,0,0,0
53201,20200302,20200412,0,0,0,0,0,0,0
157603_merged_1252227,20200413,20200628,0,0,0,0,0,0,0
157605_merged_1252226,20200413,20200628,0,0,0,0,0,0,0
155401_merged_1252124,20200302,20200412,0,0,0,0,0,0,0
125101,20200302,20200412,0,0,0,0,0,0,0
3402_merged_1252187,20200413,20200628,0,0,0,0,0,0,0
6203_merged_1252159,20200302,20200412,0,0,0,0,0,0,0
27502_merged_1252213,20200413,20200628,0,0,0,0,0,0,0
10903_merged_1252147,20200302,20200412,0,0,0,0,0,0,0
50101_merged_1252204,20200413,20200628,0,0,0,0,0,0,0
2_merged_1252229,20200413,20200628,0,0,0,0,0,1,0
201_merged_1252173,20200302,20200412,0,0,0,0,0,0,0
16901_merged_1252165,20200302,20200412,0,0,0,0,0,0,0
22201_merged_1252233,20200413,20200628,0,0,0,0,0,0,0
50201_merged_1252149,20200302,20200412,0,0,0,0,0,0,0
203_merged_1252175,20200302,20200412,0,0,0,0,0,0,0
22301_merged_1252208,20200413,20200628,0,0,0,0,0,0,0
22401_merged_1252125,20200302,20200412,0,0,0,0,0,0,0
1903_merged_1252151,20200302,20200412,0,0,0,0,0,0,0
143401_merged_1252126,20200302,20200412,0,0,0,0,0,0,0
24401_merged_1252179,20200302,20200412,0,0,0,0,0,0,0
202_merged_1252176,20200302,20200412,0,0,0,0,0,0,0
6303_merged_1252133,20200302,20200412,0,0,0,0,0,0,0
22201_merged_1252160,20200302,20200412,0,0,0,0,0,0,0
6202_merged_1252231,20200413,20200628,0,0,0,0,0,0,0
5102_merged_1252234,20200413,20200628,0,0,0,0,0,0,0
1902_merged_1252223,20200413,20200628,0,0,0,0,0,0,0
3102_merged_1252169,20200302,20200412,0,0,0,0,0,0,0
1901_merged_1252225,20200413,20200628,0,0,0,0,0,0,0
177501,20200302,20200412,0,0,0,0,0,0,0
52901,20200302,20200412,0,0,0,0,0,0,0
27501_merged_1252141,20200302,20200412,0,0,0,0,0,0,0
6301_merged_1252132,20200302,20200412,0,0,0,0,0,0,0
22101_merged_1252195,20200413,20200628,0,0,0,0,0,0,0
6301_merged_1252205,20200413,20200628,0,0,0,0,0,0,0
89201_merged_1252180,20200302,20200412,0,0,0,0,0,0,0
3601,20200302,20200412,0,0,0,0,0,0,0
27402_merged_1252117,20200302,20200412,0,0,0,0,0,0,0
22301_merged_1252135,20200302,20200412,0,0,0,0,0,0,0
35002_merged_1252256,20200413,20200628,0,0,0,0,0,0,0
6302_merged_1252207,20200413,20200628,0,0,0,0,0,0,0
24402_merged_1252251,20200413,20200628,0,0,0,0,0,0,0
157602_merged_1252155,20200302,20200412,0,0,0,0,0,0,0
3101_merged_1252241,20200413,20200628,0,0,0,0,0,0,0
27403_merged_1252118,20200302,20200412,0,0,0,0,0,0,0
115701_merged_1252115,20200302,20200412,0,0,0,0,0,0,0
24201_merged_1252136,20200302,20200412,0,0,0,0,0,0,0
6503_merged_1252215,20200413,20200628,0,0,0,0,0,0,0
156501,20200302,20200412,0,0,0,0,0,0,0
5101_merged_1252235,20200413,20200628,0,0,0,0,0,0,0
115701_merged_1252188,20200413,20200628,0,0,0,0,0,0,0
3402_merged_1252114,20200302,20200412,0,0,0,0,0,0,0
27402_merged_1252190,20200413,20200628,0,0,0,0,0,0,0
35002_merged_1252183,20200302,20200412,0,0,0,0,0,0,0
1903_merged_1252224,20200413,20200628,0,0,0,0,0,0,0
191001_merged_1252196,20200413,20200628,0,0,0,0,0,0,0
6203_merged_1252232,20200413,20200628,0,0,0,0,0,0,0
3103_merged_1252243,20200413,20200628,0,0,0,0,0,0,0
190901_merged_1252240,20200413,20200628,0,0,0,0,0,0,0
31102_merged_1252129,20200302,20200412,0,0,0,0,0,0,0
3102_merged_1252242,20200413,20200628,0,0,0,0,0,0,0
31103_merged_1252130,20200302,20200412,0,0,0,0,0,0,0
190901_merged_1252167,20200302,20200412,0,0,0,0,0,0,0
3_merged_1252127,20200302,20200412,0,0,0,0,0,0,1
53501,20200302,20200412,0,0,0,0,0,0,0
1902_merged_1252150,20200302,20200412,0,0,0,0,0,0,0
24401_merged_1252252,20200413,20200628,0,0,0,0,0,0,0
16902_merged_1252237,20200413,20200628,0,0,0,0,0,0,0
6303_merged_1252206,20200413,20200628,0,0,0,0,0,0,0
27403_merged_1252191,20200413,20200628,0,0,0,0,0,0,0
6501_merged_1252217,20200413,20200628,0,0,0,0,0,0,0
6502_merged_1252143,20200302,20200412,0,0,0,0,0,0,0
179101,20200302,20200412,0,0,0,0,0,0,0
50301_merged_1252239,20200413,20200628,0,0,0,0,0,0,0
10901_merged_1252219,20200413,20200628,0,0,0,0,0,0,0
191002_merged_1252174,20200302,20200412,0,0,0,0,0,0,0
1901_merged_1252152,20200302,20200412,0,0,0,0,0,0,0
3101_merged_1252168,20200302,20200412,0,0,0,0,0,0,0
191003_merged_1252120,20200302,20200412,0,0,0,0,0,0,0
4501,20200302,20200412,0,0,0,0,0,0,0
143401_merged_1252199,20200413,20200628,0,0,0,0,0,0,0
191001_merged_1252123,20200302,20200412,0,0,0,0,0,0,0
31103_merged_1252203,20200413,20200628,0,0,0,0,0,0,0
126401_merged_1252121,20200302,20200412,0,0,0,0,0,0,0
3401_merged_1252113,20200302,20200412,0,0,0,0,0,0,0
3701_merged_1252177,20200302,20200412,0,0,0,0,0,0,0
203_merged_1252248,20200413,20200628,0,0,0,0,0,0,0
157605_merged_1252153,20200302,20200412,0,0,0,0,0,0,0
27503_merged_1252212,20200413,20200628,0,0,0,0,0,0,0
6302_merged_1252134,20200302,20200412,0,0,0,0,0,0,0
53101,20200302,20200412,0,0,0,0,0,0,0
10903_merged_1252220,20200413,20200628,0,0,0,0,0,0,0
31101_merged_1252128,20200302,20200412,0,0,0,0,0,0,0
5_merged_1252245,20200413,20200628,0,0,0,0,0,0,0
