block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_209759,0,15873,0,0,52 Court Street,111443,1_merged_1252244,1251842,
b_210158,0,15918,0,1,15 James - MVCC To Hub,111853,1_merged_1252244,1251099,
b_209256,0,15860,0,0,443 Connective Corridor,111200,31103_merged_1252203,1244758,
b_208715,0,15828,0,0,4A Fulton - East,111044,24201_merged_1252209,1237007,
b_208888,0,15854,0,0,45 SU-Destiny USA,111171,3401_merged_1252186,1238673,
b_209335,0,15860,0,1,443 Connective Corridor to South Campus,111206,27503_merged_1252212,1245037,
b_209073,0,15860,0,0,443 Connective Corridor,111199,3102_merged_1252242,1244328,
b_208714,0,15828,0,0,4B Fulton - East,111041,24201_merged_1252209,1237005,
b_208797,0,15852,0,1,43 Waverly Ave,111162,3101_merged_1252241,1238080,
b_208888,0,15854,0,0,45 SU-Destiny USA,111171,3401_merged_1252186,1238675,
b_209442,0,15859,0,0,344 South Campus - Skytop,111189,27501_merged_1252214,1242839,
b_209241,0,15860,0,0,443 Connective Corridor,111200,31103_merged_1252203,1244759,
b_209459,0,15859,0,0,344 South Campus,111191,27501_merged_1252214,1242923,
b_208889,0,15854,0,0,45 SU-Destiny USA,111171,3401_merged_1252186,1238677,
b_209204,0,15860,0,1,443 Connective Corridor to South Campus,111206,16902_merged_1252237,1244695,
a_205907,0,15586,0,1,245 Nob Hill,109320,6201_merged_1252157,1209184,
b_209508,0,15860,0,0,443 Connective Corridor,111200,16901_merged_1252238,1245335,
a_205907,0,15586,0,1,245 Nob Hill,109320,16901_merged_1252165,1209182,
a_205907,0,15586,0,1,245 Nob Hill,109320,6201_merged_1252157,1209183,
a_205907,0,15586,0,1,245 Nob Hill,109320,16901_merged_1252165,1209180,
a_205907,0,15586,0,1,245 Nob Hill,109320,6501_merged_1252144,1209181,
a_206167,0,15587,0,0,344 South Campus,109322,27402_merged_1252117,1210777,
a_206166,0,15587,0,0,344 South Campus,109322,27402_merged_1252117,1210776,
a_206165,0,15587,0,0,344 South Campus,109322,27402_merged_1252117,1210775,
a_206166,0,15587,0,0,344 South Campus,109322,27402_merged_1252117,1210774,
a_206164,0,15587,0,0,344 South Campus,109322,27402_merged_1252117,1210773,
a_206166,0,15587,0,0,344 South Campus,109322,27402_merged_1252117,1210772,
a_206165,0,15587,0,0,344 South Campus,109322,27402_merged_1252117,1210771,
a_206163,0,15587,0,0,344 South Campus,109322,27402_merged_1252117,1210770,
b_208815,0,15859,0,1,344 South Campus to Corridor,111193,1901_merged_1252225,1243830,
b_209518,0,15859,0,1,344 South Campus to Corridor,111193,1901_merged_1252225,1243831,
b_208815,0,15859,0,1,344 South Campus to Corridor,111193,1901_merged_1252225,1243832,
b_209518,0,15859,0,1,344 South Campus to Corridor,111193,1901_merged_1252225,1243833,
b_208815,0,15859,0,1,344 South Campus to Corridor,111193,1901_merged_1252225,1243834,
b_209518,0,15859,0,1,344 South Campus,111196,1901_merged_1252225,1243835,
b_209519,0,15859,0,1,344 South Campus,111196,1901_merged_1252225,1243836,
b_209519,0,15859,0,1,344 South Campus,111196,1901_merged_1252225,1243837,
b_209519,0,15859,0,1,344 South Campus,111196,1901_merged_1252225,1243838,
b_209519,0,15859,0,1,344 South Campus,111196,1901_merged_1252225,1243839,
b_209505,0,15859,0,1,344 South Campus,111196,16901_merged_1252238,1243781,
b_209251,0,15860,0,1,443 Connective Corridor to South Campus,111207,6203_merged_1252232,1245139,
b_209239,0,15860,0,1,443 Connective Corridor to South Campus,111207,6203_merged_1252232,1245138,
b_209617,0,15865,0,1,23 James Street to Hub,111296,3_merged_1252200,1246532,
b_209620,0,15865,0,1,123 James Street to Hub,111292,3_merged_1252200,1246533,
a_206395,0,15588,0,0,443 Connective Corridor,109334,6301_merged_1252132,1215410,
b_209620,0,15865,0,1,123 James Street to Hub,111292,3_merged_1252200,1246531,
b_209617,0,15865,0,1,23 James Street to Hub,111296,3_merged_1252200,1246534,
b_208810,0,15859,0,1,344 South Campus to Corridor,111192,3101_merged_1252241,1243272,
b_209267,0,15859,0,1,344 South Campus to Corridor,111193,31103_merged_1252203,1242240,
b_209212,0,15859,0,1,344 South Campus to Corridor,111193,1902_merged_1252223,1240871,
a_205726,0,15570,0,1,246 SUNY - Oswego,109257,191003_merged_1252120,1207919,
a_205725,0,15570,0,1,246 SUNY - Oswego,109257,191003_merged_1252120,1207918,
a_205724,0,15570,0,1,246 SUNY - Oswego,109257,191003_merged_1252120,1207917,
a_205723,0,15570,0,1,246 SUNY - Oswego,109257,24203_merged_1252137,1207916,
a_205722,0,15570,0,1,246 SUNY - Oswego,109257,24203_merged_1252137,1207915,
a_205721,0,15570,0,1,246 SUNY - Oswego,109257,24203_merged_1252137,1207914,
a_205726,0,15570,0,0,246 Oswego to Syracuse,109247,191003_merged_1252120,1207913,
a_205725,0,15570,0,0,246 Oswego to Syracuse,109247,191003_merged_1252120,1207912,
a_205724,0,15570,0,0,246 Oswego to Syracuse,109247,191003_merged_1252120,1207911,
a_205723,0,15570,0,0,246 Oswego to Syracuse,109247,24203_merged_1252137,1207910,
a_206100,0,15587,0,0,344 South Campus,109322,6502_merged_1252143,1210519,
a_206100,0,15587,0,0,344 South Campus,109322,6502_merged_1252143,1210518,
b_210170,0,15921,0,1,124 Genesee Street To Hub,111871,1_merged_1252244,1251341,
b_209390,0,15859,0,1,344 South Campus,111195,3101_merged_1252241,1243273,
a_206099,0,15587,0,0,344 South Campus,109322,6502_merged_1252143,1210513,
a_206098,0,15587,0,0,344 South Campus,109322,6502_merged_1252143,1210512,
a_206098,0,15587,0,0,344 South Campus,109322,6502_merged_1252143,1210511,
a_206098,0,15587,0,0,344 South Campus,109322,6502_merged_1252143,1210510,
a_206099,0,15587,0,0,344 South Campus - Skytop,109324,6502_merged_1252143,1210517,
a_206099,0,15587,0,0,344 South Campus - Skytop,109324,6502_merged_1252143,1210516,
a_206099,0,15587,0,0,344 South Campus,109322,6502_merged_1252143,1210515,
a_206099,0,15587,0,0,344 South Campus,109322,6502_merged_1252143,1210514,
b_209285,0,15859,0,1,344 South Campus,111196,6503_merged_1252215,1242248,
b_210167,0,15922,0,0,28 Herkimer - N. Utica Shopp Ctr.,111874,1_merged_1252244,1251373,
b_209509,0,15860,0,0,443 Connective Corridor,111200,16901_merged_1252238,1245336,
b_209311,0,15860,0,1,443 Connective Corridor to South Campus,111206,27503_merged_1252212,1245033,
