shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
gm0,38.87847,-77.27147,1,0
gm0,38.87852,-77.2714,2,8.22
gm0,38.87857,-77.27138,3,14.04
gm0,38.87862,-77.27136,4,19.85
gm0,38.87881,-77.27138,5,41.04
gm0,38.87941,-77.27157,6,109.7
gm0,38.87962,-77.27027,7,224.54
gm0,38.87978,-77.26966,8,280.22
gm0,38.88008,-77.2692,9,332.12
gm0,38.88037,-77.26897,10,369.99
gm0,38.88117,-77.26897,11,458.88
gm0,38.88167,-77.26905,12,514.87
gm0,38.88219,-77.26907,13,572.67
gm0,38.88272,-77.26838,14,656.51
gm0,38.88283,-77.26796,15,694.84
gm0,38.88101,-77.26757,16,899.86
gm0,38.87876,-77.26742,17,1150.19
gm0,38.8781,-77.26723,18,1225.34
gm0,38.87709,-77.26644,19,1356.73
gm0,38.87578,-77.2652,20,1537.54
gm0,38.87505,-77.26454,21,1636.73
gm0,38.87397,-77.26397,22,1766.47
gm0,38.87279,-77.2635,23,1903.74
gm0,38.87276,-77.26349,24,1907.18
gm0,38.87187,-77.2631,25,2011.66
gm0,38.87113,-77.26306,26,2093.96
gm0,38.8702,-77.26346,27,2202.93
gm0,38.86982,-77.26352,28,2245.47
gm0,38.8694,-77.26338,29,2293.69
gm0,38.86871,-77.26299,30,2377.45
gm0,38.86757,-77.2627,31,2506.57
gm0,38.86715,-77.26253,32,2555.5
gm0,38.8665,-77.26212,33,2635.97
gm0,38.86581,-77.26203,34,2713.03
gm0,38.8652,-77.26207,35,2780.89
gm0,38.86514,-77.26598,36,3119.23
gm0,38.86504,-77.26925,37,3402.35
gm0,38.86501,-77.27194,38,3635.09
gm0,38.86488,-77.27436,39,3844.96
gm0,38.86461,-77.27586,40,3978.15
gm0,38.86436,-77.2778,41,4148.46
gm0,38.86425,-77.27862,42,4220.44
gm0,38.8641,-77.28135,43,4457.22
gm0,38.86381,-77.28387,44,4677.44
gm0,38.86342,-77.2866,45,4917.57
gm0,38.86303,-77.2895,46,5172.19
gm0,38.86253,-77.29211,47,5404.73
gm0,38.86201,-77.29482,48,5646.2
gm0,38.86142,-77.29746,49,5883.83
gm0,38.86089,-77.29992,50,6104.67
gm0,38.8606,-77.30134,51,6231.68
gm0,38.86075,-77.30147,52,6248.7
gm0,38.86098,-77.30168,53,6280.06
gm0,38.86104,-77.30195,54,6304.35
gm0,38.86118,-77.30433,55,6510.86
gm0,38.86123,-77.30731,56,6768.74
