route_id,service_id,trip_id,trip_headsign,block_id,shape_id
gold2,all-sat,414,To Metrorail Station,83,sta2
gold1,all-mtwh,517,To Metrorail Station,73,sta4
green1,all-f,171,To George Mason University,54,gm1
gold2,all-f,284,To Metrorail Station,83,sta2
green1,all-sun,280,To Metrorail Station,53,sta1
gold2,all-f,294,To Metrorail Station,83,sta2
green2,all-mtwh,80,To Metrorail Station,64,sta0
green1,all-sun,269,To George Mason University,53,gm1
gold1,all-sun,582,To Metrorail Station,73,sta4
gold2,all-sat,410,To Metrorail Station,83,sta2
gold1,all-mtwh,502,To George Mason University,73,gm4
green2,all-mtwh,77,To Metrorail Station,63,sta0
gold1,all-mtwh,526,To George Mason University,73,gm4
green1,all-f,181,To George Mason University,54,gm1
gold2,all-mtwh,352,To Metrorail Station,83,sta2
gold2,all-mtwh,368,To Metrorail Station,83,sta2
green2,all-f,31,To George Mason University,64,gm0
gold1,all-sun,589,To George Mason University,73,gm4
green1,all-mtwh,235,To George Mason University,54,gm1
green1,all-mtwh,243,To George Mason University,54,gm1
gold2,all-mtwh,355,To George Mason University,83,gm3
green2,all-f,13,To Metrorail Station,63,sta0
green1,all-f,140,To George Mason University,53,gm1
green1,all-sun,268,To Metrorail Station,53,sta1
gold2,all-f,326,To Metrorail Station,84,sta2
green1,all-f,170,To Metrorail Station,54,sta1
green2,all-sun,128,To Metrorail Station,63,sta0
gold2,all-f,283,To George Mason University,83,gm3
gold2,all-f,293,To George Mason University,83,gm3
gold2,all-mtwh,382,To Metrorail Station,84,sta2
green2,all-mtwh,59,To Metrorail Station,63,sta0
green2,all-sat,113,To George Mason University,63,gm0
green1,all-f,180,To Metrorail Station,54,sta1
green2,all-sun,126,To Metrorail Station,63,sta0
gold1,all-mtwh,550,To Metrorail Station,74,sta4
gold1,all-sat,567,To George Mason University,73,gm4
green2,all-sun,132,To Metrorail Station,63,sta0
green1,all-f,141,To Metrorail Station,53,sta1
gold2,all-sat,400,To Metrorail Station,83,sta2
gold2,all-f,327,To George Mason University,84,gm3
green2,all-f,32,To Metrorail Station,64,sta0
green1,all-sat,261,To George Mason University,53,gm1
green2,all-f,14,To George Mason University,63,gm0
gold2,all-f,282,To Metrorail Station,83,sta2
gold2,all-f,296,To Metrorail Station,83,sta2
gold2,all-sun,436,To Metrorail Station,83,sta2
green2,all-mtwh,55,To Metrorail Station,63,sta0
gold1,all-sun,579,To George Mason University,73,gm4
gold2,all-mtwh,366,To Metrorail Station,83,sta2
green1,all-f,183,To George Mason University,54,gm1
green1,all-mtwh,221,To Metrorail Station,53,sta1
green1,all-f,142,To George Mason University,53,gm1
green1,all-mtwh,217,To Metrorail Station,53,sta1
gold1,all-mtwh,545,To George Mason University,74,gm4
gold2,all-sat,406,To Metrorail Station,83,sta2
green1,all-mtwh,212,To George Mason University,53,gm1
green2,all-sun,136,To Metrorail Station,63,sta0
gold2,all-f,338,To Metrorail Station,84,sta2
green2,all-mtwh,57,To Metrorail Station,63,sta0
green2,all-mtwh,63,To Metrorail Station,63,sta0
green2,all-f,15,To Metrorail Station,63,sta0
green1,all-sat,246,To Metrorail Station,53,sta1
gold2,all-f,328,To Metrorail Station,84,sta2
green1,all-mtwh,218,To George Mason University,53,gm1
green1,all-mtwh,204,To George Mason University,53,gm1
green2,all-sun,130,To Metrorail Station,63,sta0
green2,all-mtwh,76,To George Mason University,63,gm0
gold2,all-f,281,To George Mason University,83,gm2
gold2,all-mtwh,348,To Metrorail Station,83,sta2
green2,all-f,40,To Metrorail Station,64,sta0
green2,all-mtwh,70,To George Mason University,63,gm0
green2,all-sun,133,To George Mason University,63,gm0
green1,all-sat,265,To George Mason University,53,gm1
green2,all-sat,104,To Metrorail Station,63,sta0
green1,all-f,182,To Metrorail Station,54,sta1
gold2,all-f,295,To George Mason University,83,gm3
green2,all-f,50,To Metrorail Station,64,sta0
gold2,all-mtwh,396,To Metrorail Station,84,sta2
green1,all-f,143,To Metrorail Station,53,sta1
green2,all-sat,103,To George Mason University,63,gm0
gold2,all-sat,417,To George Mason University,83,gm3
green2,all-f,30,To Metrorail Station,64,sta0
green2,all-f,20,To George Mason University,63,gm0
green2,all-f,16,To George Mason University,63,gm0
green1,all-mtwh,201,To Metrorail Station,53,sta1
gold2,all-f,329,To George Mason University,84,gm3
gold2,all-sat,399,To George Mason University,83,gm3
gold1,all-sun,587,To George Mason University,73,gm4
gold2,all-f,288,To Metrorail Station,83,sta2
green2,all-mtwh,86,To Metrorail Station,64,sta0
gold2,all-f,336,To Metrorail Station,84,sta2
gold2,all-f,322,To Metrorail Station,84,sta2
gold1,all-mtwh,506,To George Mason University,73,gm4
gold2,all-f,298,To Metrorail Station,83,sta2
gold1,all-sat,559,To George Mason University,73,gm4
green2,all-f,41,To George Mason University,64,gm0
gold1,all-sun,580,To Metrorail Station,73,sta4
green1,all-mtwh,227,To George Mason University,54,gm1
gold2,all-mtwh,346,To Metrorail Station,83,sta2
green1,all-mtwh,194,To George Mason University,53,gm1
green2,all-sun,125,To George Mason University,63,gm0
green1,all-mtwh,205,To Metrorail Station,53,sta1
gold2,all-f,287,To George Mason University,83,gm3
gold1,all-sat,566,To Metrorail Station,73,sta4
gold1,all-sat,574,To Metrorail Station,73,sta4
green1,all-mtwh,202,To George Mason University,53,gm1
gold2,all-f,323,To George Mason University,84,gm3
green2,all-f,42,To Metrorail Station,64,sta0
gold2,all-f,297,To George Mason University,83,gm3
green1,all-mtwh,198,To George Mason University,53,gm1
green2,all-f,10,To George Mason University,63,gm0
gold2,all-mtwh,389,To George Mason University,84,gm3
gold2,all-f,337,To George Mason University,84,gm3
gold2,all-mtwh,391,To George Mason University,84,gm3
gold2,all-f,334,To Metrorail Station,84,sta2
gold1,all-sat,558,To Metrorail Station,73,sta4
green2,all-f,43,To George Mason University,64,gm0
green2,all-sat,106,To Metrorail Station,63,sta0
gold2,all-f,286,To Metrorail Station,83,sta2
gold2,all-f,324,To Metrorail Station,84,sta2
gold2,all-mtwh,371,To George Mason University,84,gm2
green2,all-f,11,To Metrorail Station,63,sta0
green1,all-mtwh,196,To George Mason University,53,gm1
gold2,all-sat,397,To George Mason University,83,gm3
green1,all-mtwh,195,To Metrorail Station,53,sta1
gold1,all-sun,588,To Metrorail Station,73,sta4
gold2,all-sat,402,To Metrorail Station,83,sta2
gold2,all-f,335,To George Mason University,84,gm3
gold2,all-sun,432,To Metrorail Station,83,sta2
gold2,all-f,285,To George Mason University,83,gm3
gold2,all-mtwh,351,To George Mason University,83,gm3
green2,all-sun,134,To Metrorail Station,63,sta0
green2,all-sat,102,To Metrorail Station,63,sta0
green2,all-sat,109,To George Mason University,63,gm0
green2,all-f,44,To Metrorail Station,64,sta0
gold1,all-mtwh,541,To George Mason University,74,gm4
gold2,all-f,299,To George Mason University,83,gm3
green1,all-mtwh,211,To Metrorail Station,53,sta1
gold1,all-sun,590,To Metrorail Station,73,sta4
gold2,all-f,325,To George Mason University,84,gm3
