trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_1081954_b_26267_tn_0,07:00:00,07:00:00,19016,1,,0,0,0,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,07:08:00,07:08:00,2436344,2,,0,0,4878.62590018184,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,07:10:00,07:10:00,18993,3,,0,0,6016.84983972526,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,07:16:00,07:16:00,18995,4,,0,0,7070.88564805355,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,07:42:00,07:42:00,19033,5,,0,0,38731.6627023197,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,07:44:00,07:44:00,19030,6,,0,0,42927.9596268556,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,07:47:00,07:47:00,19029,7,,0,0,44437.7760317841,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,07:55:00,07:55:00,27801,8,,0,0,47095.11114206,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,07:57:00,07:57:00,19026,9,,0,0,49088.7554432953,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,08:01:00,08:01:00,19022,10,,0,0,52710.7852994668,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,08:10:00,08:10:00,19023,11,,0,0,58307.0927780342,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,08:13:00,08:13:00,19024,12,,0,0,60170.1293472255,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,08:15:00,08:15:00,794903,13,,0,0,62781.3459097333,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,08:26:00,08:26:00,19013,14,,0,0,72418.034445029,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,08:30:00,08:30:00,18995,15,,0,0,76420.8648128099,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,08:33:00,08:33:00,18993,16,,0,0,77469.0556317017,0,,,,,1,1,,,,
t_1081954_b_26267_tn_0,08:39:00,08:39:00,19016,17,,0,0,83135.50496834,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:00:00,11:00:00,19016,1,,0,0,0,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:08:00,11:08:00,2436344,2,,0,0,4878.62590018184,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:10:00,11:10:00,18993,3,,0,0,6016.84983972526,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:16:00,11:16:00,18995,4,,0,0,7070.88564805355,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:21:00,11:21:00,19013,5,,0,0,11006.9248598647,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:32:00,11:32:00,19024,6,,0,0,21333.1820684732,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:34:00,11:34:00,794903,7,,0,0,23947.2351012726,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:36:00,11:36:00,27798,8,,0,0,24140.9395183648,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:37:00,11:37:00,19021,9,,0,0,24906.7263760761,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:47:00,11:47:00,19025,10,,0,0,30547.4073847125,0,,,,,1,1,,,,
t_1083197_b_26267_tn_0,11:50:00,11:50:00,19026,11,,0,0,34111.9108206027,0,,,,,1,1,,,,
