stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5,4000014,"Duke St+S Alfred St",,38.803051,-77.049896,,,,,,0
6,4000015,"Duke St + S Alfred St",,38.803116,-77.049530,,,,,,0
7,4000016,"Duke St + S Henry St",,38.803493,-77.052436,,,,,,0
8,4000017,"Duke St+S Payne St",,38.803520,-77.054298,,,,,,0
9,4000018,"Duke St + S Payne St",,38.803677,-77.053864,,,,,,0
10,4000019,"S Washington St + Prince St",,38.803570,-77.047432,,,,,,0
11,4000021,"Duke St+S Peyton St",,38.803871,-77.056839,,,,,,0
12,4000022,"Duke St + S Peyton St",,38.804073,-77.056900,,,,,,0
15,4000025,"S Washington St + King St",,38.804680,-77.046913,,,,,,0
16,4000027,"N Washington St + King St",,38.805264,-77.047058,,,,,,0
17,4000029,"Duke St+Dove St",,38.805386,-77.068962,,,,,,0
18,4000030,"Duke St+Roberts Ln",,38.805614,-77.068619,,,,,,0
21,4000034,"Duke St+Moncure Dr",,38.806301,-77.073654,,,,,,0
22,4000035,"Duke St+Moncure Dr",,38.806606,-77.073952,,,,,,0
23,4000038,"2712 Duke St",,38.806747,-77.077583,,,,,,0
24,4000039,"Duke St+W Taylor Run Pkwy",,38.806889,-77.076523,,,,,,0
25,4000040,"King St + Sunset Dr",,38.806896,-77.061607,,,,,,0
26,4000041,"Duke St + Witter Dr",,38.806915,-77.078766,,,,,,0
28,4000043,"N Washington St + Queen St",,38.807152,-77.046410,,,,,,0
29,4000044,"Duke St + Roth St",,38.807381,-77.081802,,,,,,0
30,4000046,"Edsall Rd + S Whiting St",,38.807487,-77.135071,,,,,,0
31,4000048,"N Washington St + Queen St",,38.807560,-77.046539,,,,,,0
32,4000050,"Duke St+Cambridge Rd",,38.807552,-77.081673,,,,,,0
34,4000052,"Edsall Rd+S Whiting St",,38.807667,-77.134644,,,,,,0
35,4000053,"Duke St+Sweeley St",,38.807590,-77.083328,,,,,,0
36,4000054,"Edsall Rd + Yoakum Pkwy",,38.807671,-77.138557,,,,,,0
37,4000055,"Duke St+Yale Dr",,38.807762,-77.083160,,,,,,0
38,4000056,"Alexandria Commons",,38.807976,-77.085983,,,,,,0
39,4000058,"Alexandria Commons",,38.808147,-77.085793,,,,,,0
40,4000061,"Duke St+S Quaker Ln",,38.808262,-77.088051,,,,,,0
41,4000062,"S Van Dorn St + Edsall Rd",,38.808315,-77.132736,,,,,,0
42,4000063,"Yoakum Pkwy + Edsall Rd",,38.808693,-77.139000,,,,,,0
45,4000066,"N Washington St + Princess St",,38.808613,-77.046341,,,,,,0
47,4000068,"Yoakum Pkwy + Edsall Rd",,38.808773,-77.139297,,,,,,0
48,4000070,"King St + W Rosemont Ave",,38.809040,-77.064941,,,,,,0
49,4000071,"Duke St+Normandy Hill Dr",,38.809139,-77.092461,,,,,,0
50,4000072,"Duke St+Carriage House Circle",,38.809372,-77.092796,,,,,,0
51,4000073,"King St+Park Rd",,38.809273,-77.065369,,,,,,0
52,4000074,"N Washington St+Oronoco St",,38.809422,-77.045929,,,,,,0
