timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
21764,4000995,"Van Dorn Plaza",,38.810043,-77.132515,,,,,,0
21766,4000787,"N Howard St+Louis Pl",,38.827099,-77.103989,,,,,,0
21767,4000116,"King St+Highland Pl",,38.811954,-77.068649,,,,,,0
21768,4000253,"Seminary Rd+Saint Stephens Rd",,38.821957,-77.097740,,,,,,0
21769,4000525,"Cameron Mills Rd+Beverly Dr",,38.832928,-77.075241,,,,,,0
21770,4000660,"Second St+N Fairfax St",,38.815842,-77.040375,,,,,,0
21771,4000791,"Kenmore Ave + N Van Dorn St",,38.829735,-77.110138,,,,,,0
21772,4000432,"Martha Custis Dr+Holmes Ln",,38.842064,-77.080643,,,,,,0
21773,4000506,"N Columbus St+Montgomery St",,38.814472,-77.046059,,,,,,0
21775,4000425,"King St+N Beauregard St",,38.840683,-77.106667,,,,,,0
21776,4000471,"Powhatan St+Bashford Ln",,38.818283,-77.047432,,,,,,0
21777,4000537,"Commonwealth Ave+E Braddock Rd",,38.816025,-77.062401,,,,,,0
21779,4000338,"King St+Dearing St",,38.831234,-77.093529,,,,,,0
21780,5002020,"4813 Beauregard St",,38.819523,-77.142937,,,,,,0
21781,4001043,"W Glebe Rd + Mount Vernon Ave",,38.836805,-77.062082,,,,,,0
21782,4000740,"Russell Rd+Woodland Ter",,38.827153,-77.065781,,,,,,0
21783,4000063,"Yoakum Pkwy + Edsall Rd",,38.808693,-77.139000,,,,,,0
21788,4000126,"100 S Van Dorn St",,38.812252,-77.131073,,,,,,0
21791,4000690,"N Ripley St+Duke St",,38.814331,-77.126213,,,,,,0
21793,4000801,"Eisenhower Ave + Ike Drive WB",,38.802696,-77.081963,,,,,,0
21795,4000619,"Commonwealth Ave+W Maple St",,38.811535,-77.061569,,,,,,0
21796,4000823,"5231 Eisenhower Ave",,38.801727,-77.125565,,,,,,0
21797,4000653,"Russell Rd+W Mount Ida Ave",,38.829731,-77.066269,,,,,,0
21798,4000859,"King St + West View Ter",,38.813572,-77.070839,,,,,,0
21799,4000821,"Van Dorn St Metro Station - Bay B",,38.799862,-77.128891,,,,,,0
21800,4000527,"Cameron Mills Rd+Allison St",,38.831730,-77.075058,,,,,,0
21801,4000309,"Mt Vernon Ave+E Oxford Ave",,38.826736,-77.058678,,,,,,0
21802,4000337,"King St+Dearing St",,38.831272,-77.093391,,,,,,0
21803,4000552,"King St+N West St",,38.806110,-77.054474,,,,,,0
21804,4000553,"Jamieson Ave+Englehardt Ln",,38.803749,-77.064537,,,,,,0
21806,4000230,"1409 E Abingdon Dr",,38.819443,-77.043739,,,,,,0
21807,4000849,"Montgomery St + N Royal St",,38.813751,-77.041389,,,,,,0
21808,4000545,"N Beauregard St+Gloucester Rd",,38.820103,-77.139946,,,,,,0
21809,4000344,"King St+N Menokin Dr",,38.832047,-77.094368,,,,,,0
21811,4000095,"Pendleton St + N Columbus St",,38.810875,-77.047089,,,,,,0
21812,4000358,"N Beauregard St+Mark Center Dr",,38.833603,-77.120293,,,,,,0
21813,4000844,"N Menokin Dr + N Early St",,38.830551,-77.097115,,,,,,0
21815,4000886,"King St+Patrick St",,38.805462,-77.050453,,,,,,0
21816,4000756,"N Ripley St+Holmes Run Pkwy",,38.817177,-77.126640,,,,,,0
21817,4000077,"S Whiting St+Lane Dr",,38.809746,-77.135803,,,,,,0
21818,4000560,"W Reed Ave+Commonwealth Ave",,38.836697,-77.058128,,,,,,0
21819,4000526,"Cameron Mills Rd+Summit Ave",,38.829773,-77.074402,,,,,,0
21820,4000510,"Cameron Mills Rd+Chalfonte Dr",,38.835632,-77.076462,,,,,,0
21822,4000512,"E Braddock Rd+E Spring St",,38.815552,-77.060478,,,,,,0
21824,4000200,"Seminary Rd+N Quaker Ln",,38.817463,-77.090446,,,,,,0
21826,4000115,"Duke St near Shops at Foxchase",,38.811977,-77.112129,,,,,,0
21827,4000296,"Mt Vernon Ave+E Custis Ave",,38.825493,-77.058617,,,,,,0
21828,4000742,"Cameron Mills Rd+W Braddock Rd",,38.824177,-77.073639,,,,,,0
21829,4000108,"Duke St+S Gordon St",,38.811485,-77.103249,,,,,,0
21830,4000985,"4390 King St",,38.838039,-77.104256,,,,,,0
21833,4000997,"Commonwealth Ave + Glendale Ave",,38.816570,-77.062592,,,,,,0
21834,4000228,"Quantrell Ave+N Armistead St",,38.819294,-77.136208,,,,,,0
21837,4000688,"Reading Ave+Merton Ct",,38.830715,-77.127693,,,,,,0
21838,4000015,"Duke St + S Alfred St",,38.803116,-77.049530,,,,,,0
