trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
342070,AT9,2,"Mark Center Station",,0,195429307,shp-9-51,0,0,
399010,AT5,3,"Braddock Metro via N Washington St",,1,188228401,shp-5-02,2,2,
8020,AT8,1,"Landmark Mall",,0,195425702,shp-8-53,0,0,
490020,AT7,1,"Van Dorn Metro",,0,196178102,shp-7-98,0,0,
481070,AT9,2,"Mark Center Station",,0,195429107,shp-9-51,0,0,
632020,AT2,1,"Braddock Metro",,1,195634202,shp-2-01,0,0,
174010,AT2,3,"Lincolnia",,0,188218501,shp-2-51,0,0,
518010,AT5,3,"Eisenhower Metro via Van Dorn",,0,188218601,shp-5-52,2,2,
508020,AT1+,1,"Van Dorn Metro",,0,195402602,shp-1-57,0,0,
548070,AT10,2,"Potomac Yard Center",,1,195508207,shp-10-01,0,0,
287010,AT1+,3,"Van Dorn Metro",,0,188215401,shp-1-55,0,0,
751070,AT9,2,"Potomac Yard Center",,1,195429007,shp-9-01,0,0,
522070,AT8,2,"Landmark Mall",,0,195425707,shp-8-53,0,0,
748070,AT5,2,"Van Dorn Metro via Bradlee",,0,196178107,shp-5-54,2,2,
126020,AT5,1,"Braddock Metro via N Washington St",,1,195634302,shp-5-08,2,2,
704020,AT2,1,"Lincolnia",,0,195415802,shp-2-51,0,0,
741020,AT1+,1,"Van Dorn Metro",,0,195402602,shp-1-57,0,0,
736070,AT5,2,"Van Dorn Metro via Bradlee",,0,195966907,shp-5-54,2,2,
226070,AT2,2,"Braddock Metro",,1,195640207,shp-2-01,0,0,
8070,AT8,2,"Landmark Mall",,0,195425707,shp-8-53,0,0,
259020,AT7,1,"Van Dorn Metro",,0,195422402,shp-7-98,0,0,
610020,AT7,1,"Van Dorn Metro",,0,195422402,shp-7-98,0,0,
666070,AT2,2,"Lincolnia",,0,196277107,shp-2-51,0,0,
220070,AT1+,2,"Van Dorn Metro",,0,195402707,shp-1-57,0,0,
654020,AT1+,1,"Van Dorn Metro",,0,195402702,shp-1-57,0,0,
101020,AT8,1,"Van Dorn Metro via Landmark Mall",,0,195633602,shp-8-51,0,0,
4070,AT5,2,"Braddock Metro via N Washington St",,1,195633607,shp-5-08,2,2,
485020,AT5,1,"Braddock Metro via N Washington St",,1,195970202,shp-5-08,2,2,
665070,AT5,2,"Braddock Metro via N Washington St",,1,195950407,shp-5-08,2,2,
531020,AT7,1,"Lee Center",,1,195422402,shp-7-10,0,0,
495070,AT2,2,"Braddock Metro",,1,195406007,shp-2-01,0,0,
179020,AT2,1,"Lincolnia",,0,195966902,shp-2-51,0,0,
742020,AT7,1,"Van Dorn Metro",,0,195634302,shp-7-98,0,0,
482020,AT2,1,"Braddock Metro",,1,195406002,shp-2-01,0,0,
104070,AT9,2,"Potomac Yard Center",,1,195429307,shp-9-01,0,0,
383070,AT10,2,"Potomac Yard Center",,1,195508207,shp-10-01,0,0,
513070,AT9,2,"Mark Center Station",,0,195429007,shp-9-51,0,0,
120070,AT5,2,"Van Dorn Metro via Bradlee",,0,195951007,shp-5-54,2,2,
702020,AT7,1,"Lee Center",,1,195966902,shp-7-10,0,0,
393020,AT9,1,"Mark Center Station",,0,195429102,shp-9-51,0,0,
167070,AT7,2,"Van Dorn Metro",,0,195951007,shp-7-98,0,0,
114020,AT4,1,"Pentagon Metro via Parkfairfax",,1,195739302,shp-4-01,0,0,
98010,AT1+,3,"Van Dorn Metro",,0,188215201,shp-1-55,0,0,
671070,AT7,2,"Van Dorn Metro",,0,195640207,shp-7-98,0,0,
478010,AT1+,3,"Seminary Plaza",,1,188215401,shp-1-03,0,0,
42010,AT8,3,"Braddock Metro via Old Town",,1,188238301,shp-8-0e,0,0,
410020,AT9,1,"Potomac Yard Center",,1,195429302,shp-9-01,0,0,
470070,AT1+,2,"Seminary Plaza",,1,195402707,shp-1-02,0,0,
