agency_id,agency_name,agency_url,agency_timezone,agency_lang
99,Altamont Corridor Express,http://www.amtrak.com,America/New_York,en
51,Amtrak,http://www.amtrak.com,America/New_York,en
174,null,http://www.amtrak.com,America/New_York,en
103,James River Transportation,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
45,Lone Star Coaches,http://www.amtrak.com,America/New_York,en
4,Martz First Class Coach,http://www.amtrak.com,America/New_York,en
116,Trinity Transportation,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
12,Vandalia Bus Lines,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
146,Village Tours,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
 
