service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1298323,1,1,1,1,1,0,0,20180804,20180831
1298325,1,1,1,1,1,0,0,20180904,20190904
1298329,1,1,1,1,1,0,0,20180804,20180831
1298331,1,1,1,1,1,0,0,20180904,20190904
1298332,1,1,1,1,1,0,0,20180804,20180831
1298334,1,1,1,1,1,0,0,20180904,20190904
1298326,1,1,1,1,1,0,0,20180804,20180831
1298328,1,1,1,1,1,0,0,20180904,20190904
1298335,1,1,1,1,1,0,0,20180804,20180831
1298337,1,1,1,1,1,0,0,20180904,20190904
1295924,1,1,1,1,1,0,0,20180804,20180831
1268703,1,1,1,1,1,0,0,20180904,20181116
1280774,1,1,1,0,0,0,0,20181119,20181121
1280776,1,1,1,1,1,0,0,20181126,20191126
1295962,1,1,1,1,1,0,0,20180804,20180831
1295964,1,1,1,1,1,0,0,20180904,20181116
1295965,1,1,1,0,0,0,0,20181119,20181121
1295967,1,1,1,1,1,0,0,20181126,20191126
1295925,1,1,1,1,1,0,0,20180804,20180831
1280779,1,1,1,1,1,0,0,20180904,20181116
1280780,1,1,1,0,0,0,0,20181119,20181121
1280782,1,1,1,1,1,0,0,20181126,20191126
1295968,1,1,1,1,1,0,0,20180804,20180831
1295970,1,1,1,1,1,0,0,20180904,20181116
1295971,1,1,1,0,0,0,0,20181119,20181121
1295973,1,1,1,1,1,0,0,20181126,20191126
1281530,0,0,0,0,1,0,0,20181123,20181123
1295974,1,1,1,1,1,0,0,20180804,20180831
1295976,1,1,1,1,1,0,0,20180904,20181116
1295977,1,1,1,0,0,0,0,20181119,20181121
1295979,1,1,1,1,1,0,0,20181123,20191123
1295926,1,1,1,1,1,0,0,20180804,20180831
1280785,1,1,1,1,1,0,0,20180904,20181116
1280786,1,1,0,0,0,0,0,20181119,20181120
1280789,1,1,1,1,1,0,0,20181126,20191126
1295980,1,1,1,1,1,0,0,20180804,20180831
1295982,1,1,1,1,1,0,0,20180904,20181116
1295983,1,1,1,0,0,0,0,20181119,20181121
1295985,1,1,1,1,1,0,0,20181126,20191126
1295953,1,1,1,1,1,0,0,20180804,20180831
1295955,1,1,1,1,1,0,0,20180904,20181116
1295956,1,1,1,0,0,0,0,20181119,20181121
1295958,1,1,1,1,1,0,0,20181126,20191126
1295991,1,1,1,1,1,0,0,20180804,20180831
1295987,1,1,1,1,1,0,0,20180904,20181116
1295988,1,1,0,0,0,0,0,20181119,20181120
1295990,1,1,1,1,1,0,0,20181126,20191126
1295927,1,1,1,1,1,0,0,20180804,20180831
1287241,1,1,1,1,1,0,0,20180904,20181116
1287242,1,0,0,0,0,0,0,20181119,20181119
1287245,1,1,1,1,1,0,0,20181127,20191127
1295941,1,1,1,1,1,0,0,20180804,20180831
1268753,1,1,1,1,1,0,0,20180904,20181116
1281551,1,1,1,0,0,0,0,20181119,20181121
1281553,1,1,1,1,1,0,0,20181123,20191123
1295928,1,1,1,1,1,0,0,20180804,20180831
1295930,1,1,1,1,1,0,0,20180904,20181116
1295931,1,1,1,0,0,0,0,20181119,20181121
1295934,1,1,1,1,1,0,0,20181126,20191126
1295942,1,1,1,1,1,0,0,20180804,20180831
1295944,1,1,1,1,1,0,0,20180904,20181116
1295945,1,1,1,0,0,0,0,20181119,20181121
1295947,1,1,1,1,1,0,0,20181126,20191126
1295894,1,1,1,1,1,0,0,20180804,20180831
1280724,1,1,1,1,1,0,0,20180904,20181116
1280725,1,1,1,0,0,0,0,20181119,20181121
1280727,1,1,1,1,1,0,0,20181126,20191126
1296051,1,1,1,1,1,0,0,20180804,20180831
1296053,1,1,1,1,1,0,0,20180904,20181116
1296054,1,1,1,0,0,0,0,20181119,20181121
1296056,1,1,1,1,1,0,0,20181123,20191123
1295997,1,1,1,1,1,0,0,20180804,20180831
1295999,1,1,1,1,1,0,0,20180904,20181116
1296000,1,1,1,0,0,0,0,20181119,20181121
1296002,1,1,1,1,1,0,0,20181126,20191126
1295908,1,1,1,1,1,0,0,20180804,20180831
1268818,1,1,1,1,1,0,0,20180904,20181116
1280747,1,1,1,0,0,0,0,20181119,20181121
1280748,1,1,1,1,1,0,0,20181123,20191123
1296003,1,1,1,1,1,0,0,20180804,20180831
1296005,1,1,1,1,1,0,0,20180904,20181116
1296006,1,1,1,0,0,0,0,20181119,20181121
1296008,1,1,1,1,1,0,0,20181123,20191123
1295909,1,1,1,1,1,0,0,20180804,20180831
1268824,1,1,1,1,1,0,0,20180904,20181116
1280751,1,1,1,0,0,0,0,20181119,20181121
1280753,1,1,1,1,1,0,0,20181123,20191123
1296014,1,1,1,1,1,0,0,20180804,20180831
1296010,1,1,1,1,1,0,0,20180904,20181116
