trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
32011298323,10:05:00,10:05:00,SKT,1,0,0
32011298323,10:24:00,10:24:00,LTM,2,1,0
32011298323,10:36:00,10:36:00,TRC,3,1,0
32011298323,11:05:00,11:05:00,VAS,4,1,0
32011298323,11:10:00,11:10:00,LIV,5,1,0
32011298323,11:18:00,11:18:00,PLS,6,1,0
32011298323,11:40:00,11:40:00,FMT,7,1,0
32011298323,11:58:00,11:58:00,GAC,8,1,0
32011298323,12:05:00,12:05:00,SCC,9,1,0
32011298323,12:17:00,12:17:00,SJC,10,1,0
32011298325,10:05:00,10:05:00,SKT,1,0,0
32011298325,10:24:00,10:24:00,LTM,2,1,0
32011298325,10:36:00,10:36:00,TRC,3,1,0
32011298325,11:05:00,11:05:00,VAS,4,1,0
32011298325,11:10:00,11:10:00,LIV,5,1,0
32011298325,11:18:00,11:18:00,PLS,6,1,0
32011298325,11:40:00,11:40:00,FMT,7,1,0
32011298325,11:58:00,11:58:00,GAC,8,1,0
32011298325,12:05:00,12:05:00,SCC,9,1,0
32011298325,12:17:00,12:17:00,SJC,10,1,0
32041298329,18:35:00,18:35:00,SJC,1,0,1
32041298329,18:40:00,18:40:00,SCC,2,0,1
32041298329,18:49:00,18:49:00,GAC,3,0,1
32041298329,19:05:00,19:05:00,FMT,4,0,1
32041298329,19:28:00,19:28:00,PLS,5,0,1
32041298329,19:37:00,19:37:00,LIV,6,0,1
32041298329,19:42:00,19:42:00,VAS,7,0,1
32041298329,20:11:00,20:11:00,TRC,8,0,1
32041298329,20:23:00,20:23:00,LTM,9,0,1
32041298329,20:47:00,20:47:00,SKT,10,1,0
32041298331,18:35:00,18:35:00,SJC,1,0,1
32041298331,18:40:00,18:40:00,SCC,2,0,1
32041298331,18:49:00,18:49:00,GAC,3,0,1
32041298331,19:05:00,19:05:00,FMT,4,0,1
32041298331,19:28:00,19:28:00,PLS,5,0,1
32041298331,19:37:00,19:37:00,LIV,6,0,1
32041298331,19:42:00,19:42:00,VAS,7,0,1
32041298331,20:11:00,20:11:00,TRC,8,0,1
32041298331,20:23:00,20:23:00,LTM,9,0,1
32041298331,20:47:00,20:47:00,SKT,10,1,0
32181298332,19:35:00,19:35:00,SJC,1,0,1
32181298332,19:40:00,19:40:00,SCC,2,0,1
32181298332,19:49:00,19:49:00,GAC,3,0,1
32181298332,20:05:00,20:05:00,FMT,4,0,1
32181298332,20:28:00,20:28:00,PLS,5,0,1
32181298332,20:37:00,20:37:00,LIV,6,0,1
32181298332,20:42:00,20:42:00,VAS,7,0,1
32181298332,21:11:00,21:11:00,TRC,8,0,1
32181298332,21:23:00,21:23:00,LTM,9,0,1
32181298332,21:47:00,21:47:00,SKT,10,1,0
32181298334,19:35:00,19:35:00,SJC,1,0,1
32181298334,19:40:00,19:40:00,SCC,2,0,1
32181298334,19:49:00,19:49:00,GAC,3,0,1
32181298334,20:05:00,20:05:00,FMT,4,0,1
32181298334,20:28:00,20:28:00,PLS,5,0,1
32181298334,20:37:00,20:37:00,LIV,6,0,1
32181298334,20:42:00,20:42:00,VAS,7,0,1
32181298334,21:11:00,21:11:00,TRC,8,0,1
32181298334,21:23:00,21:23:00,LTM,9,0,1
32181298334,21:47:00,21:47:00,SKT,10,1,0
32781298326,20:35:00,20:35:00,SJC,1,0,1
32781298326,20:40:00,20:40:00,SCC,2,0,1
32781298326,20:49:00,20:49:00,GAC,3,0,1
32781298326,21:05:00,21:05:00,FMT,4,0,1
32781298326,21:28:00,21:28:00,PLS,5,0,1
32781298326,21:37:00,21:37:00,LIV,6,0,1
32781298326,21:42:00,21:42:00,VAS,7,0,1
32781298326,22:11:00,22:11:00,TRC,8,0,1
32781298326,22:23:00,22:23:00,LTM,9,0,1
32781298326,22:47:00,22:47:00,SKT,10,1,0
32781298328,20:35:00,20:35:00,SJC,1,0,1
32781298328,20:40:00,20:40:00,SCC,2,0,1
32781298328,20:49:00,20:49:00,GAC,3,0,1
32781298328,21:05:00,21:05:00,FMT,4,0,1
32781298328,21:28:00,21:28:00,PLS,5,0,1
32781298328,21:37:00,21:37:00,LIV,6,0,1
32781298328,21:42:00,21:42:00,VAS,7,0,1
32781298328,22:11:00,22:11:00,TRC,8,0,1
32781298328,22:23:00,22:23:00,LTM,9,0,1
32781298328,22:47:00,22:47:00,SKT,10,1,0
32881298335,21:38:00,21:38:00,SJC,1,0,1
32881298335,21:43:00,21:43:00,SCC,2,0,1
32881298335,21:52:00,21:52:00,GAC,3,0,1
32881298335,22:08:00,22:08:00,FMT,4,0,1
32881298335,22:31:00,22:31:00,PLS,5,0,1
32881298335,22:40:00,22:40:00,LIV,6,0,1
32881298335,22:45:00,22:45:00,VAS,7,0,1
32881298335,23:14:00,23:14:00,TRC,8,0,1
32881298335,23:26:00,23:26:00,LTM,9,0,1
32881298335,23:50:00,23:50:00,SKT,10,1,0
32881298337,21:38:00,21:38:00,SJC,1,0,1
32881298337,21:43:00,21:43:00,SCC,2,0,1
32881298337,21:52:00,21:52:00,GAC,3,0,1
