service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20160403,20161001
2,1,1,1,1,1,0,1,20160403,20161001
4,0,0,0,0,1,0,1,20160403,20161001
3,1,1,1,1,1,1,1,20161002,20170401
5,1,1,1,1,1,0,1,20161002,20170401
6,0,0,0,0,1,0,1,20161002,20170401
7,1,1,1,1,1,1,1,20170402,20171001
8,1,1,1,1,1,0,1,20170402,20171001
9,0,0,0,0,1,0,1,20170402,20171001
10,1,1,1,1,1,1,1,20171001,20180401
11,1,1,1,1,1,0,1,20171001,20180401
12,0,0,0,0,1,0,1,20171001,20180401
13,1,1,1,1,1,1,1,20180401,20181007
14,1,1,1,1,1,0,1,20180401,20181007
15,0,0,0,0,1,0,1,20180401,20181007
16,1,1,1,1,1,1,1,20180513,20191007
17,1,1,1,1,1,1,1,20181007,20190407
18,1,1,1,1,1,0,1,20181007,20190407
19,0,0,0,0,1,0,1,20181007,20190407
20,1,1,1,1,1,1,1,20190407,20191005
21,1,1,1,1,1,0,1,20190707,20191005
22,0,0,0,0,1,0,1,20190407,20191005
23,1,1,1,1,1,1,1,20191006,20200404
24,1,1,1,1,1,0,1,20191006,20200404
