trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,08:40:00,08:40:00,13,1,,0,0,
1,09:10:00,09:10:00,16,2,,0,0,
1,09:15:00,09:15:00,17,3,,0,0,
1,09:25:00,09:25:00,18,4,,0,0,
1,09:30:00,09:30:00,19,5,,0,0,
1,09:35:00,09:35:00,20,6,,0,0,
1,09:50:00,09:50:00,21,7,,0,0,
1,09:55:00,09:55:00,22,8,,0,0,
1,10:20:00,10:20:00,23,9,,0,0,
1,10:40:00,10:40:00,12,10,,0,0,
1,11:15:00,11:15:00,9,11,,0,0,
1,12:45:00,12:45:00,7,12,,0,0,
1,13:10:00,13:10:00,3,13,,0,0,
1,13:15:00,13:15:00,4,14,,0,0,
10,11:45:00,11:45:00,4,1,,0,0,
10,12:00:00,12:00:00,3,2,,0,0,
10,12:30:00,12:30:00,7,3,,0,0,
10,14:00:00,14:00:00,9,4,,0,0,
10,15:00:00,15:00:00,10,5,,0,0,
100,11:45:00,11:45:00,10,1,,0,1,
100,12:45:00,12:45:00,9,2,,1,0,
101,19:15:00,19:15:00,10,1,,0,1,
101,20:15:00,20:15:00,9,2,,1,0,
102,07:15:00,07:15:00,22,1,,0,1,
102,07:35:00,07:35:00,1,2,,0,0,
102,08:15:00,08:15:00,10,3,,0,0,
102,09:15:00,09:15:00,9,4,,0,0,
102,10:30:00,10:30:00,7,5,,0,0,
102,11:00:00,11:00:00,3,6,,1,0,
102,11:10:00,11:10:00,4,7,,1,0,
103,09:10:00,09:10:00,13,1,,0,1,
103,09:40:00,09:40:00,16,2,,0,0,
103,09:45:00,09:45:00,17,3,,0,0,
103,09:55:00,09:55:00,18,4,,0,0,
103,10:00:00,10:00:00,19,5,,0,0,
103,10:05:00,10:05:00,20,6,,0,0,
103,10:20:00,10:20:00,21,7,,0,0,
103,10:25:00,10:25:00,22,8,,0,0,
103,10:40:00,10:40:00,23,9,,0,0,
103,11:05:00,11:05:00,12,10,,0,0,
103,11:45:00,11:45:00,9,11,,0,0,
103,13:15:00,13:15:00,7,12,,0,0,
103,13:40:00,13:40:00,3,13,,1,0,
103,13:45:00,13:45:00,4,14,,1,0,
104,15:40:00,15:40:00,13,1,,0,1,
104,16:10:00,16:10:00,16,2,,0,0,
104,16:15:00,16:15:00,17,3,,0,0,
104,16:25:00,16:25:00,18,4,,0,0,
104,16:30:00,16:30:00,19,5,,0,0,
104,16:35:00,16:35:00,20,6,,0,0,
104,16:50:00,16:50:00,21,7,,0,0,
104,16:55:00,16:55:00,22,8,,0,0,
104,17:10:00,17:10:00,23,9,,0,0,
104,17:35:00,17:35:00,12,10,,0,0,
104,18:15:00,18:15:00,9,11,,0,0,
104,19:30:00,19:30:00,7,12,,0,0,
104,20:00:00,20:00:00,3,13,,1,0,
104,20:10:00,20:10:00,4,14,,1,0,
105,10:45:00,10:45:00,10,1,,0,1,
105,11:45:00,11:45:00,9,2,,0,0,
105,13:15:00,13:15:00,7,3,,0,0,
105,13:40:00,13:40:00,3,4,,1,0,
105,13:45:00,13:45:00,4,5,,1,0,
106,17:15:00,17:15:00,10,1,,0,1,
106,18:15:00,18:15:00,9,2,,0,0,
106,19:30:00,19:30:00,7,3,,0,0,
106,20:00:00,20:00:00,3,4,,1,0,
106,20:10:00,20:10:00,4,5,,1,0,
107,09:00:00,09:00:00,9,1,,0,1,
107,10:00:00,10:00:00,10,2,,1,0,
108,13:00:00,13:00:00,9,1,,0,1,
108,14:00:00,14:00:00,10,2,,1,0,
109,21:00:00,21:00:00,9,1,,0,1,
109,22:00:00,22:00:00,10,2,,1,0,
11,16:45:00,16:45:00,4,1,,0,0,
11,17:00:00,17:00:00,3,2,,0,0,
11,18:30:00,18:30:00,9,3,,0,0,
11,19:30:00,19:30:00,10,4,,0,0,
110,09:15:00,09:15:00,4,1,,0,1,
110,09:30:00,09:30:00,3,2,,0,1,
110,10:00:00,10:00:00,7,3,,0,0,
110,11:30:00,11:30:00,9,4,,0,0,
110,12:05:00,12:05:00,12,5,,0,0,
110,12:30:00,12:30:00,23,6,,0,0,
110,12:55:00,12:55:00,22,7,,0,0,
110,13:00:00,13:00:00,21,8,,0,0,
110,13:15:00,13:15:00,20,9,,0,0,
110,13:20:00,13:20:00,19,10,,0,0,
110,13:25:00,13:25:00,18,11,,0,0,
110,13:35:00,13:35:00,17,12,,0,0,
110,13:40:00,13:40:00,16,13,,0,0,
110,14:10:00,14:10:00,13,14,,1,0,
111,14:30:00,14:30:00,4,1,,0,1,
111,14:45:00,14:45:00,3,2,,0,1,
111,15:15:00,15:15:00,7,3,,0,0,
111,17:00:00,17:00:00,9,4,,0,0,
111,18:30:00,18:30:00,22,5,,0,0,
111,19:10:00,19:10:00,16,6,,0,0,
111,19:40:00,19:40:00,13,7,,1,0,
112,09:15:00,09:15:00,4,1,,0,1,
112,09:30:00,09:30:00,3,2,,0,1,
112,10:00:00,10:00:00,7,3,,0,0,
112,11:30:00,11:30:00,9,4,,0,0,
112,12:30:00,12:30:00,10,5,,1,0,
113,11:45:00,11:45:00,4,1,,0,1,
113,12:00:00,12:00:00,3,2,,0,1,
113,12:30:00,12:30:00,7,3,,0,0,
113,14:00:00,14:00:00,9,4,,0,0,
113,15:00:00,15:00:00,10,5,,1,0,
114,14:30:00,14:30:00,4,1,,0,1,
114,14:45:00,14:45:00,3,2,,0,1,
114,15:15:00,15:15:00,7,3,,0,0,
114,17:00:00,17:00:00,9,4,,0,0,
114,18:00:00,18:00:00,10,5,,1,0,
115,17:45:00,17:45:00,4,1,,0,1,
115,18:00:00,18:00:00,3,2,,0,1,
115,19:30:00,19:30:00,9,3,,0,0,
115,21:30:00,21:30:00,10,4,,1,0,
116,20:45:00,20:45:00,4,1,,0,1,
116,21:00:00,21:00:00,3,2,,0,1,
116,21:30:00,21:30:00,7,3,,0,0,
116,23:45:00,23:45:00,9,4,,0,0,
116,24:45:00,24:45:00,10,5,,1,0,
117,08:10:00,08:10:00,13,1,,0,1,
117,08:40:00,08:40:00,16,2,,0,0,
117,08:45:00,08:45:00,17,3,,0,0,
117,08:55:00,08:55:00,18,4,,0,0,
117,09:00:00,09:00:00,19,5,,0,0,
117,09:05:00,09:05:00,20,6,,0,0,
117,09:20:00,09:20:00,21,7,,0,0,
117,09:25:00,09:25:00,22,8,,0,0,
117,09:50:00,09:50:00,23,9,,0,0,
117,10:10:00,10:10:00,12,10,,0,0,
117,10:45:00,10:45:00,9,11,,0,0,
117,12:15:00,12:15:00,7,12,,0,0,
117,12:40:00,12:40:00,3,13,,1,0,
117,12:45:00,12:45:00,4,14,,1,0,
118,14:40:00,14:40:00,13,1,,0,1,
118,15:10:00,15:10:00,16,2,,0,0,
118,15:15:00,15:15:00,17,3,,0,0,
