service_id,date,exception_type
17,20160328,1

18,20160328,2
19,20160328,1

20,20160328,1

21,20160328,2
22,20160328,1

23,20160328,2
146,20160328,2
147,20160328,2
148,20160328,1

149,20160328,2
150,20160328,2
151,20160328,2
152,20160328,1

153,20160328,2
262,20160328,2
263,20160328,2
264,20160328,2
265,20160328,2
266,20160328,2
267,20160328,2
268,20160328,2
269,20160328,1

319,20160328,2
320,20160328,2
321,20160328,2
322,20160328,2
323,20160328,1

324,20160328,2
325,20160328,1

406,20160328,1

407,20160328,1

24,20160505,2
25,20160505,2
26,20160505,2
27,20160505,1

146,20160505,2
147,20160505,2
148,20160505,1

149,20160505,2
150,20160505,2
151,20160505,2
152,20160505,1

153,20160505,2
262,20160505,2
263,20160505,2
264,20160505,2
265,20160505,2
266,20160505,2
267,20160505,2
268,20160505,2
269,20160505,1

326,20160505,1

327,20160505,2
328,20160505,1

329,20160505,2
330,20160505,2
331,20160505,2
332,20160505,2
333,20160505,1

406,20160505,1

407,20160505,1

28,20160624,2
29,20160624,2
30,20160624,2
31,20160624,1

32,20160624,1

33,20160624,2
146,20160624,2
147,20160624,1

148,20160624,1

149,20160624,1

150,20160624,2
151,20160624,1

152,20160624,1

153,20160624,1

262,20160624,2
263,20160624,2
264,20160624,2
265,20160624,2
266,20160624,2
267,20160624,2
268,20160624,1

269,20160624,2
334,20160624,2
335,20160624,2
336,20160624,1

337,20160624,2
338,20160624,2
406,20160624,1

407,20160624,1

853,20160624,1

854,20160624,2
855,20160624,2
856,20160624,2
857,20160624,2
858,20160624,1

859,20160624,2
860,20160624,2
884,20160624,2
889,20160624,1

892,20160624,1

893,20160624,2
28,20160625,2
29,20160625,2
30,20160625,2
31,20160625,1

32,20160625,2
33,20160625,1

146,20160625,2
147,20160625,2
148,20160625,1

149,20160625,2
150,20160625,2
151,20160625,2
152,20160625,1

153,20160625,2
262,20160625,2
263,20160625,2
264,20160625,2
265,20160625,2
266,20160625,2
267,20160625,2
268,20160625,2
269,20160625,1

334,20160625,2
335,20160625,2
336,20160625,2
337,20160625,1

338,20160625,2
406,20160625,1

407,20160625,1

853,20160625,1

854,20160625,2
855,20160625,2
856,20160625,2
857,20160625,2
858,20160625,2
859,20160625,1

860,20160625,2
884,20160625,2
889,20160625,1

892,20160625,2
893,20160625,1

