trip_id,start_time,end_time,headway_secs
33661,00:00:00,08:40:00,1800
33662,09:00:00,11:40:00,1800
33663,12:00:00,16:30:00,1800
33664,16:50:00,19:40:00,1800
33665,20:00:00,24:00:00,1800
33666,00:00:00,07:25:00,1800
33667,07:42:00,09:25:00,1800
33668,09:50:00,12:25:00,1800
33669,12:42:00,16:25:00,1800
33670,16:42:00,18:25:00,1800
33671,18:50:00,21:25:00,1800
33672,21:42:00,24:00:00,1800
33673,00:00:00,08:45:00,1800
33674,09:05:00,11:30:00,1800
33675,11:50:00,16:45:00,1800
33676,17:05:00,19:30:00,1800
33677,19:50:00,24:00:00,1800
33678,00:00:00,09:00:00,1800
33679,09:20:00,12:00:00,1800
33680,12:20:00,17:00:00,1800
33681,17:20:00,20:00:00,1800
33682,20:20:00,24:00:00,1800
33683,07:00:00,19:00:00,1800
33684,07:00:00,21:00:00,1800
33685,08:00:00,12:00:00,1800
33686,15:00:00,17:00:00,1800
33687,10:00:00,20:00:00,1800
33688,00:00:00,08:30:00,1800
33689,08:50:00,11:30:00,1800
33690,11:50:00,16:30:00,1800
33691,16:50:00,19:30:00,1800
33692,19:50:00,24:00:00,1800
33693,00:00:00,09:00:00,1800
33694,09:20:00,11:40:00,1800
33695,12:00:00,17:00:00,1800
33696,17:20:00,19:30:00,1800
33697,19:50:00,24:00:00,1800
33698,07:00:00,09:00:00,1800
33699,09:20:00,11:00:00,1800
33700,11:20:00,14:00:00,1800
33701,14:20:00,17:00:00,1800
33702,17:20:00,19:00:00,1800
33703,19:20:00,19:30:00,1800
33704,07:00:00,09:00:00,1800
33705,09:20:00,11:00:00,1800
33706,11:20:00,14:00:00,1800
33707,14:20:00,17:00:00,1800
33708,17:20:00,19:00:00,1800
33709,19:20:00,21:00:00,1800
33710,08:00:00,09:00:00,1800
33711,09:20:00,11:00:00,1800
33712,11:20:00,14:00:00,1800
33713,14:20:00,17:00:00,1800
33714,17:20:00,19:00:00,1800
33715,19:20:00,19:30:00,1800
33716,06:00:00,10:00:00,1800
33717,10:30:00,18:00:00,1800
33718,18:30:00,22:00:00,1800
33719,08:00:00,10:00:00,1800
33720,10:30:00,18:00:00,1800
33721,18:30:00,21:00:00,1800
33722,00:00:00,09:00:00,1800
33723,09:20:00,12:00:00,1800
33724,12:20:00,17:00:00,1800
33725,17:20:00,20:00:00,1800
33726,20:20:00,24:00:00,1800
33727,00:00:00,09:00:00,1800
33728,09:20:00,11:30:00,1800
33729,11:50:00,16:30:00,1800
33730,16:50:00,19:30:00,1800
33731,19:50:00,24:00:00,1800
33732,00:00:00,09:00:00,1800
33733,09:20:00,11:00:00,1800
33734,11:20:00,16:45:00,1800
33735,17:05:00,19:15:00,1800
33736,19:35:00,24:00:00,1800
33737,06:00:00,08:30:00,1800
33738,08:50:00,11:30:00,1800
33739,11:50:00,16:30:00,1800
33740,16:50:00,19:30:00,1800
33741,19:50:00,22:00:00,1800
33742,09:00:00,12:00:00,1800
33743,12:20:00,18:00:00,1800
33744,18:20:00,22:00:00,1800
33745,00:00:00,09:00:00,1800
33746,09:20:00,11:40:00,1800
33747,12:00:00,17:00:00,1800
33748,17:20:00,19:40:00,1800
33749,20:00:00,24:00:00,1800
33750,00:00:00,09:00:00,1800
33751,09:20:00,11:00:00,1800
33752,11:20:00,16:00:00,1800
33753,16:20:00,19:00:00,1800
33754,19:20:00,24:00:00,1800
33755,06:00:00,08:30:00,1800
33756,07:00:00,08:30:00,1800
33757,08:00:00,08:30:00,1800
33758,08:50:00,11:00:00,1800
33759,11:30:00,16:30:00,1800
33760,16:50:00,19:00:00,1800
33761,19:30:00,21:55:00,1800
33762,06:00:00,08:30:00,1800
33763,08:50:00,11:30:00,1800
33764,11:50:00,16:30:00,1800
33765,16:50:00,19:30:00,1800
33766,19:50:00,22:00:00,1800
33767,06:00:00,08:30:00,1800
33768,08:50:00,11:30:00,1800
33769,11:50:00,16:30:00,1800
33770,16:50:00,19:30:00,1800
33771,19:50:00,22:00:00,1800
33772,09:00:00,12:00:00,1800
33773,12:20:00,18:00:00,1800
33774,18:20:00,22:00:00,1800
33775,00:00:00,09:10:00,1800
33776,09:30:00,11:40:00,1800
33777,12:00:00,17:10:00,1800
33778,17:30:00,20:10:00,1800
33779,20:30:00,24:00:00,1800
33780,07:30:00,19:30:00,1800
33781,00:00:00,08:30:00,1800
33782,08:50:00,11:00:00,1800
33783,11:20:00,17:00:00,1800
33784,17:20:00,19:30:00,1800
33785,19:50:00,24:00:00,1800
33786,00:00:00,09:10:00,1800
33787,09:30:00,11:40:00,1800
33788,12:00:00,17:10:00,1800
33789,17:30:00,19:30:00,1800
33790,19:50:00,24:00:00,1800
