route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,,Keistiö-Dalen,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/keistio.html,,
2,1,,Hämmärönsalmi,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/hammaronsalmi.html,,
3,1,,Högsar,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/hogsar.html,,
4,1,,Kivimo,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/kivimo.html,,
5,1,,Kokkila,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/kokkila.html,,
6,1,,Parainen-Nauvo,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/parainen-nauvo.html,,
7,1,,Mossala,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/mossala.html,,
8,1,,Houtskari-Iniö,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/saariston-rengastie-houtskari-inio.html,,
9,1,,Teersalo-Palva,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/palva.html,,
10,1,,Nauvo-Korppoo,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/nauvo-korppoo.html,,
11,1,,Saverkeit,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/saverkeit.html,,
12,11,,Skagen,,4,http://www.ncl.fi/fi/aikataulut,,
13,1,,Vartsala,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/vartsala.html,,
14,1,,Palva-Velkuanmaa,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/velkuanmaa.html,,
15,1,,Våno,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/vano.html,,
