stop_id,stop_name,stop_desc,zone_id,stop_url,stop_lon,stop_lat
1,Turku,,,,22.268116,60.457006
2,Parainen (keskusta),,,,22.30131,60.306671
3,Lillmälö (Parainen),,,,22.112741,60.2356
4,Prostvik (Nauvo),,,,22.09791,60.2225
5,Nauvo (keskusta),,,,21.909252,60.192696
6,Retais (Korppoo),,,,21.69128,60.165932
7,Galtby (Korppoo),,,,21.585506,60.185459
8,Kittuis (Houtskari),,,,21.438494,60.186813
9,Roslax (Houtskari),,,,21.334612,60.233414
10,Kivimo (Houtskari),,,,21.335678,60.235104
11,Mossala sund (Houtskari),,,,21.40597,60.268883
12,Dalen (Iniö),,,,21.371466,60.381573
13,Norrby (Iniö),,,,21.38699,60.396778
14,Jumo (Iniö),,,,21.369955,60.411625
15,Heponiemi (Kustavi),,,,21.435049,60.485214
16,Taivassalo,,,,21.603249,60.564495
17,Merimasku,,,,21.913502,60.458736
18,Naantali,,,,22.030373,60.463799
19,Seili,,,,21.955162,60.23642
20,Hanka (Rymättylä),,,,21.968849,60.285774
21,Hämmärönsalmi (Aasla),,,,21.961533,60.313774
22,Hämmärönsalmi (Airismaa),,,,21.963299,60.316238
23,Rymättylä,,,,21.947077,60.373505
24,Korppoo (keskusta),,,,21.562193,60.162815
25,Korpoström (Korppoo),,,,21.600191,60.111019
26,Galtby tienhaara (Korppoo),,,,21.593702,60.179066
27,Träsk (Houtskari),,,,21.342758,60.213593
28,Näsby (Houtskari),,,,21.372257,60.222858
29,Pärnäs (Nauvo),,,,21.704924,60.163769
30,Björkö (Houtskari),,,,21.405907,60.265533
31,Mossala (Houtskari),,,,21.439211,60.288834
32,Skagen (Iniö),,,,21.368523,60.406006
33,Kannvik (Iniö),,,,21.396416,60.439201
34,Hakkenpää,,,,21.613609,60.499218
35,Teersalo,,,,21.693819,60.467415
36,Mietoinen,,,,21.916021,60.617271
37,Lieranta,,,,21.865244,60.507347
572,Åva (Brändö),,,,21.0559844971,60.5028921287
573,Vuosnainen (Kustavi),,,,21.2471311167,60.50724871
574,Jurmo,,,,21.0743200779,60.5161383332
575,Lappo I,,,,20.9957313538,60.3174497374
576,Asterholma,,,,21.0348272324,60.3043137156
577,Björkö,,,,20.9413576126,60.3110311763
578,Kumlinge,,,,20.7893943787,60.2905130799
579,Enklinge,,,,20.751285553,60.3182360307
580,Snäckö,,,,20.7263946533,60.2193549362
581,Seglinge,,,,20.7097434998,60.2153047928
582,Sottunga,,,,20.6821060181,60.1100392117
583,Husö,,,,20.8074188232,60.0650117844
584,Kyrkogårdsö,,,,20.8250999451,60.030429078
585,Kökar,,,,20.8930778503,59.9465863469
586,Överö P,,,,20.5106592178,60.1114506742
587,Bergö,,,,20.3929424286,60.162735502
588,Svinö,,,,20.2653551102,60.0668748792
589,Degerby (Föglö),,,,20.3865480423,60.0317367659
590,Hummelvik (Vårdö),,,,20.4132843018,60.2245980628
591,Lappo L,,,,20.9523010254,60.3113500088
592,Överö E,,,,20.52713871,60.0766169371
593,Embarsund,,,,20.5263233185,60.0743047969
594,Ängö,,,,20.2945804596,60.1540227211
595,Långnäs P,,,,20.2891731262,60.1531256861
596,Sandö,,,,20.3735876083,60.3207860407
597,Simskäla,,,,20.3652191162,60.3316213622
598,Prästö,,,,20.2720928192,60.2081412095
599,Töftö,,,,20.2778434753,60.2059235928
600,Torsholma L,,,,21.0377883911,60.3571869556
601,Maarianhamina,,,,19.9279975891,60.0924550185
602,Hammarland,,,,19.7399425507,60.2165412054
603,Eckerö,,,,19.5364379883,60.225493147
604,Godby,,,,19.99047,60.231662
605,Geta,,,,19.846209,60.377435
606,Saltvik,,,,20.061962,60.275738
607,Sund,,,,20.0831794739,60.2381069715
608,Lemland,,,,20.0873851776,60.069101889
609,Vartsala (Kustavi),,,,21.3192296378,60.5409557363
610,Långnäs E,,,,20.2998161316,60.1169248656
611,Risteys Svinövägen,,,,20.2572011947632,60.0859066804419
612,Risteys Stickvägen,,,,20.2722215652466,60.1091837504638
613,Risteys Vårdö,,,,20.3735446929932,60.2424951029111
617,Risteys Sund,,,,20.0414228439331,60.2460733380818
618,Risteys Maarianhamina,,,,19.9338340759277,60.1139098962199
619,Kivimaa (Kustavi),,,,21.3366079330444,60.542698920157
620,Risteys Kustavintie,,,,21.3923120498657,60.5465608470324
621,Risteys Iniöntie,,,,21.4571571350098,60.5363880040719
9216,Vaala,,,,26.8982449465,64.3407788293
9217,Rääkkylä,,,,29.5666584934,62.3905758774
9214,Tirmo,,,,25.8990606281,60.2465199569
9215,Huikku (Hailuoto),,,,25.0679665398,65.0374795465
9212,Kuparonvirta,,,,27.8497901265,61.554855163
9213,Puutossalmi,,,,27.755784209,62.7223475666
9210,Puumala,,,,28.1708362588,61.4529346099
9211,Kortesalmi,,,,27.8400668639,62.9056066242
9264,Maisaari,,,,21.8939608453,60.3321887693
9265,Grönvik,,,,22.5916984227,59.9578239445
9218,Lamposaari,,,,28.3166988394,61.0963200412
9219,Ruokolahti,,,,28.3421752767,61.330018331
9133,Pensar I,,,,22.1369610228,60.1480145232
9132,Ramsholm,,,,22.184108502,60.1699888989
9131,Kuggö,,,,22.1613315761,60.1480132875
9130,Heisala,,,,22.2590089697,60.1771890628
9137,Samsaari,,,,21.826956342,60.3184274448
9136,Ruotsalainen,,,,21.764703119,60.3678579757
9135,Pakinainen,,,,21.6877390749,60.3551295763
9134,Korvenmaa,,,,21.6810804908,60.3652835232
995,Brunskär,,,,21.5011496821,60.0419955635
9139,Munninmaa,,,,21.6812997959,60.4204078323
9138,Lailuoto,,,,21.6665400359,60.454913766
9225,Högsåra,,,,22.3692049171,59.9546268517
924,Teersalo,,,,21.6939273413,60.4672592813
9250,Esthamn,,,,25.5367613357,60.239588308
992,Åselholm,,,,21.2201099002,60.4155120814
920,Pärnäs (Nauvo),,,,21.7051539869,60.1640706729
922,Roslax (Houtskari),,,,21.3351611364,60.2333965705
9526,Kongonsaari I,,,,29.0676342699,61.6835689482
9223,Svartnäs,,,,22.3952306228,59.9491288921
928,Kalkkiranta,,,,25.391655202,60.252764544
929,Spjutsund,,,,25.5105650172,60.2726680835
9222,Olofsnäs (Norrskata),,,,21.558698041,60.2165290229
9289,Gumbostrand,,,,25.2940978629,60.2555641659
9221,Hirvisalmi (saari),,,,29.3256332363,63.278332436
9401,Espoo,,,,24.7709077777116,60.1551848933061
9400,Helsinki,,,,24.954743,60.167176
9281,Granö,,,,25.2383677699,60.2335132155
9280,Kamsholmen,,,,25.2627583542,60.2209415277
9283,Opanholmen,,,,25.2914870206,60.2436754839
9220,Enonkoski,,,,28.973944087,62.1480806214
9285,Box-Hangelby strand,,,,25.3820025607,60.2688560673
9284,Majholmen,,,,25.381492906,60.2665422954
9287,Mattesö,,,,25.3230351227,60.2593578556
9286,Eriksnäs,,,,25.3463540139,60.2690454893
966,Stora Ängesö,,,,22.5062568285,59.9496938035
9227,Dalen (Iniö),,,,21.3716699172,60.3814858054
9522,Pietolansaari,,,,28.950095556,61.668466429
9120,Peno,,,,22.1018953973,60.1454813526
9121,Pensar L,,,,22.1098377486,60.1511488209
9122,Rockelholm,,,,21.8884088074,60.0998472145
9123,Sandholm,,,,21.8093197046,59.9040317549
9124,Stenskär,,,,22.0489418297,60.0712975757
9125,Seili,,,,21.9550924291,60.2364527623
9126,Trunsö,,,,21.7726161762,59.8823883137
9127,Träskholm,,,,21.7423746682,59.9134328186
9128,Ängsö,,,,21.7236501539,60.1042064848
9129,Björkholm,,,,22.236042415,60.1852031167
9269,Östra Norrkullalandet,,,,25.3687642979,60.2354295807
9268,Majholmen,,,,25.5366738316,60.2488236929
969,Vänoxa,,,,22.608835243,59.970197683
991,Ytterstö,,,,21.2643686344,60.3159432835
959,Kannvik (Iniö),,,,21.3965861689,60.4392095558
9534,Ulkoluoto (Särkisalo),,,,22.914567,60.041371
9276,Björkholmen,,,,25.3150642055,60.2357402045
993,Åvensor,,,,21.5787185571,60.2982253603
9537,Mietinsaari,,,,28.599061,61.243704
9536,Sandö,,,,22.068775,60.181128
9535,Lillandet E (Nauvo),,,,22.064178,60.179994
963,Biskopsö,,,,22.5597012904,59.9710965495
9533,Pettu,,,,22.923144,60.038432
9532,Lillandet P (Nauvo),,,,21.96964,60.198998
9531,Käldö,,,,21.968148,60.204383
9530,Kokonsaari,,,,28.7393817964,61.7820234031
990,Perkala P,,,,21.4767006975,60.3794582827
9538,Äitsaari,,,,28.610516,61.248426
9201,Bergö,,,,21.177114932,62.943923943
9199,Barölandet,,,,23.8763024579,59.9772019483
9198,Långnäs (Hiittinen),,,,22.4489303118,59.8727049409
9200,Heponiemi (Kustavi),,,,21.4347479951,60.4853216328
9195,Hämmärönsalmi (Airismaa),,,,21.963363851,60.316246647
9194,Kivimo (Houtskari),,,,21.3357640619,60.2350936721
9197,Lillmälö (Parainen),,,,22.1124118893,60.2353741181
9196,Retais (Korppoo),,,,21.691412087,60.1659144911
9191,Palva I,,,,21.675684938,60.4678779629
9190,Näsby I (Houtskari),,,,21.3957615899,60.2174389557
9193,Kokkila,,,,22.9434213602,60.3180919992
9192,Mossala E (Houtskari),,,,21.4059284723,60.268793858
9115,Knivskär,,,,21.9756369569,60.0114670452
9114,Innamo,,,,21.7524866362,60.2495422485
9117,Lökholm,,,,21.8826336909,59.9123996392
9116,Kopparholm,,,,21.9040648585,59.9679804129
9111,Grötö,,,,22.0154698886,60.079930847
9110,Byskär,,,,21.9702949688,60.0842646435
9113,Hummelholm,,,,21.7966357135,60.1008213412
9112,Gullkrona,,,,22.0831300432,60.0883120159
9278,Sandholmen (Rösö),,,,25.3247868142,60.2256398193
9205,Kesamonsaari P,,,,28.7285030053,61.8138028297
980,Södrö,,,,21.2910237995,60.2830947734
981,Södö,,,,21.1975351079,60.3259785993
9119,Nötö,,,,21.7559049426,59.9538120848
9118,Nauvo,,,,21.9118937594,60.1941244594
984,Keistiö,,,,21.3494963887,60.3722746242
985,Kolko,,,,21.4097498376,60.4186522688
9251,Simsalö,,,,25.2905539529,60.2372328879
9207,Kervinen,,,,27.9145080397,66.5802673946
9256,Tveskiftsholm,,,,21.7499735443,60.1056991448
9206,Tappuniemi,,,,28.4664971275,62.2007714133
9226,Kittuis (Houtskari),,,,21.4384526768,60.1868320892
9257,Östra Tallholmen,,,,22.1642825749,60.1602212922
9524,Laukansaari E,,,,28.8279553227,61.8087091035
9525,Kongonsaari L,,,,29.0649849495,61.6833490797
93,Hakkenpää,,,,21.6135609823,60.4992332231
9527,Ahvionsaari,,,,28.7513891453,61.7088302196
