runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_18072_b_22720_d_31,1021,1,1,t_893841_b_22720_tn_1,2371071,t_893839_b_22720_tn_12,2371071
1000000,c_18072_b_22720_d_31,1103,10,1,t_913933_b_22720_tn_1,2562474,t_913937_b_22720_tn_0,779288
10000000,c_18567_b_24427_d_31,921,100,1,t_897996_b_24427_tn_0,779152,t_897997_b_24427_tn_5,780017
10100000,c_18567_b_24427_d_31,923,101,1,t_913342_b_24427_tn_0,779281,t_913341_b_24427_tn_0,780017
10200000,c_18568_b_24428_d_31,924,102,1,t_953036_b_24428_tn_0,779152,t_953038_b_24428_tn_7,779281
10300000,c_19867_b_26346_d_127,10817,103,1,t_1116786_b_26346_tn_1,779393,t_1116785_b_26346_tn_4,779393
10400000,c_19867_b_26346_d_127,10827,104,1,t_1117143_b_26346_tn_1,779741,t_1117145_b_26346_tn_4,779393
10500000,c_19867_b_26346_d_127,10837,105,1,t_1117152_b_26346_tn_1,779393,t_1117148_b_26346_tn_4,779741
10600000,c_19867_b_26346_d_127,10847,106,1,t_1117158_b_26346_tn_1,779393,t_1116787_b_26346_tn_0,779157
10700000,c_19867_b_26346_d_127,1107,107,1,t_1117115_b_26346_tn_1,779288,t_1117114_b_26346_tn_15,779288
10800000,c_19867_b_26346_d_127,1127,108,1,t_1117117_b_26346_tn_1,2562474,t_1117116_b_26346_tn_14,2562474
10900000,c_19867_b_26346_d_127,1617,109,1,t_1117122_b_26346_tn_1,780068,t_1117119_b_26346_tn_0,780093
1100000,c_18072_b_22720_d_31,1104,11,1,t_913959_b_22720_tn_1,779288,t_892885_b_22720_tn_5,2562474
11000000,c_19867_b_26346_d_127,1627,110,1,t_1117124_b_26346_tn_1,779968,t_1117125_b_26346_tn_8,780068
11100000,c_19867_b_26346_d_127,317,111,1,t_1117103_b_26346_tn_1,779694,t_1117102_b_26346_tn_15,779694
11200000,c_19867_b_26346_d_127,327,112,1,t_1117104_b_26346_tn_0,779774,t_1117107_b_26346_tn_0,779296
11300000,c_19867_b_26346_d_127,4717,113,1,t_1117133_b_26346_tn_0,779667,t_1117127_b_26346_tn_8,779860
11400000,c_19867_b_26346_d_127,4727,114,1,t_1117137_b_26346_tn_1,779860,t_1116799_b_26346_tn_8,779894
11500000,c_19867_b_26346_d_127,51217,115,1,t_1117168_b_26346_tn_1,779533,t_1117167_b_26346_tn_0,779683
