stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0005AMB,,Ambassadeur,-1.285963,36.826048,,,1, 
0006BSS,,Bus Station,-1.287191,36.828881,,,1, 
0007COM,,Commercial,-1.284282,36.826188,,,1, 
0512BST,,Bus Station,-1.287281,36.828863,,, ,0006BSS
0512BSN,,Bus Station,-1.287635,36.829215,,, ,0006BSS
0512BSL,,Bus Station,-1.287229,36.829477,,, ,0006BSS
0512CML,,Commercial Imara,-1.284306,36.826257,,, ,0007COM
0512CMC,,Commercial,-1.283947,36.826437,,, ,0007COM
0512AMU,,Ambassadeur,-1.285315,36.825615,,, , 
0512ESC,,Easy Coach/Uchumi,-1.289218,36.828251,,, , 
0512EAS,,Easy Coach/Uchumi,-1.288854,36.828734,,, , 
0001RLW,,Railways Terminus,-1.290884,36.828242,,,1, 
0512RLW,,Railways,-1.290352,36.828268,,, ,0001RLW
0513KWR,,Kware,-1.396812,36.75024,,, , 
0412KNC,,Kencom,-1.28589,36.82429,,, , 
6050GPO,,GPO,-1.28604,36.818211,,, , 
0502AMB,,Ambassadeur,-1.2854,36.825803,,, , 
0501KPU,,Kenya Polytechnic Bus Stop,-1.292001,36.822352,,, , 
0501KBL,,Kobil Haile Selassie,-1.29335,36.820878,,, , 
0501KAB,,Makaburini,-1.29955,36.824716,,, , 
0511NYS,,Nyayo Stadium/Nairobi West Stage,-1.305554,36.825028,,, , 
0501WEB,,West End Bar/Barclays,-1.30734,36.82366,,, , 
0511NWT,,Nairobi West Stage,-1.307386,36.822896,,, , 
0501DSC,,Discount,-1.307496,36.822293,,, , 
0501WEM,,West Mall,-1.30939,36.82225,,, , 
0501MIL,,Miller Estate,-1.31174,36.82004,,, , 
0501CIV,,Civil Servants,-1.31213,36.81927,,, , 
0501MOE,,Moi Educational Centre,-1.31337,36.81898,,, , 
0501KSB,,Kenya Society For The Blind,-1.31425,36.81831,,, , 
0501SPR,,Space Apartments,-1.31397,36.81782,,, , 
0501MAG,,Magharibi/Kogo Star,-1.3137,36.81747,,, , 
0503TMO,,T-Mall,-1.31297,36.81666,,, , 
0501KDO,,Kodi I,-1.307651,36.821316,,, , 
0501KDT,,Kodi Ii,-1.307474,36.820249,,, , 
0501MKS,,Madaraka Shopping Centre,-1.30682,36.81779,,, , 
0501NMD,,Nhc Flats/Madaraka Primary School,-1.30685,36.81659,,, , 
0511SUP,,7Up,-1.30738,36.81491,,, , 
0503STS,,Strathmore/Siwaka,-1.30875,36.81233,,, , 
0500STR,,Strathmore University/Siwaka,-1.30874,36.81251,,, , 
0500SUP,,7Up,-1.30742,36.81474,,, , 
0500MPS,,Madaraka Primary School,-1.30691,36.81627,,, , 
0500MSC,,Madaraka Shopping Centre,-1.30683,36.81867,,, , 
0511MAD,,Madaraka Flyover Stage,-1.307736,36.819463,,, , 
0501TML,,Shell/T-Mall,-1.311067,36.817232,,, , 
0501WIL,,Wilson Airport/Shell,-1.316647,36.813418,,, , 
0501AMR,,Amref,-1.319163,36.810873,,, , 
0501DME,,Dam Estate,-1.322802,36.804624,,, , 
0501UCH,,Carnivore/Uchumi Hyper,-1.323222,36.802134,,, , 
0511LGT,,Lang'Ata,-1.328457,36.789744,,, , 
0511BRK,,Barracks,-1.331919,36.78354,,, , 
0500LGS,,Lang'Ata Road Stage/St. Mary'S H,-1.332642,36.78224,,, , 
0500PCA,,Pcea Junction,-1.33063,36.7805,,, , 
0511OPR,,Nairobi National Park/Orphanage,-1.334299,36.779501,,, , 
0501LGC,,Lang'Ata Cemetery,-1.334967,36.778186,,, , 
0501WCK,,Wck,-1.338157,36.773563,,, , 
0501BMS,,Bomas/Ongata Rongai Junction,-1.343149,36.766709,,, , 
0501NNP,,Nairobi National Park Gate,-1.348156,36.764887,,, , 
0511CUE,,Cuea,-1.352203,36.762892,,, , 
0511TOL,,Acacia/Total,-1.355979,36.762093,,, , 
0501MRG,,Maro Gardens,-1.358862,36.762636,,, , 
0501BDS,,Banda School,-1.365629,36.766651,,, , 
0501MKR,,Mukoma Road,-1.372141,36.76862,,, , 
0511MMU,,Multimedia University,-1.381962,36.770612,,, , 
0501HCC,,Hashi/Visions Of Glory Church,-1.390667,36.766832,,, , 
0501NIB,,Nibs/Ongata Rongai,-1.391825,36.76594,,, , 
0511MSL,,Uchumi/Masai Mall/Ongata Rongai,-1.394366,36.764355,,, , 
0501RNG,,Tumaini/Ongata Rongai,-1.395227,36.763723,,, , 
0511KOB,,Kobil,-1.395939,36.762455,,, , 
0501STM,,St.Mary'S Ccatholic Church,-1.3963,36.761664,,, , 
0501ONM,,Tyme Arcade/Ongata Mall,-1.397174,36.759599,,, , 
0501RNP,,Ongata Police Station/Nyotu,-1.397304,36.756748,,, , 
0501KNL,,Kenol,-1.3972,36.755415,,, , 
0511TUS,,Legend/Tuskys,-1.397014,36.753156,,, , 
0501WMN,,Nairobi Womens,-1.396517,36.746185,,, , 
0501OLR,,Olerai,-1.396351,36.744019,,, , 
0501LSR,,Laiser Hill,-1.39564,36.734614,,, , 
0501EXC,,Exciting,-1.395455,36.731754,,, , 
0501ACA,,Acacia,-1.398809,36.725319,,, , 
0501ADV,,Adventist University,-1.401103,36.722692,,, , 
0501NKO,,Nkoroi White House,-1.404555,36.7175,,, , 
0501PCE,,Kanisani/Pcea,-1.407454,36.714424,,, , 
0501RIM,,Rimpa,-1.418404,36.708186,,, , 
0501NLP,,Nalepo,-1.420524,36.703624,,, , 
0501KSG,,Kiserian Girls/Kwa Maji,-1.423356,36.696028,,, , 
0501KMT,,Kiserian Market,-1.429587,36.685779,,, , 
0501KIS,,Kiserian,-1.429062,36.686887,,, , 
0513TER,,Kiserian Terminus,-1.42964,36.685808,,, , 
0510KSM,,Kiserain Nairobi Bus Stop,-1.429533,36.685794,,, , 
0500KSR,,Kiserian,-1.42973,36.687204,,, , 
0500TRN,,Triangle,-1.426975,36.691508,,, , 
0500KJI,,Kwa Maji,-1.423343,36.695863,,, , 
0500GCG,,Gichagi,-1.425355,36.693466,,, , 
0500KHN,,Kahungo,-1.422616,36.697947,,, , 
0500HSM,,Horse Man,-1.421689,36.700664,,, , 
0500NYT,,Nyati,-1.420839,36.702737,,, , 
0500NLP,,Nalepo,-1.420443,36.703693,,, , 
