route_id,direction_id,direction
15643,1,Inbound (1)
15643,0,Outbound (0)
12858,1,Inbound (1)
12858,0,Outbound (0)
11713,1,Southbound (1)
11713,0,Northbound (0)
11712,1,Anti-Clockwise (1)
9709,1,Inbound (1)
9709,0,Outbound (0)
9708,1,Inbound (1)
9708,0,Outbound (0)
9033,1,Southbound (1)
9033,0,Northbound (0)
9032,1,Anti-Clockwise (1)
9032,0,Clockwise (0)
9022,1,Inbound (1)
9022,0,Outbound (0)
9021,1,Inbound (1)
9021,0,Outbound (0)
7118,1,Inbound (1)
7118,0,Outbound (0)
6461,1,Inbound (1)
6461,0,Outbound (0)
6321,0,CBD Loop (0)
6175,1,Inbound (1)
6175,0,Outbound (0)
4666,1,Inbound (1)
4666,0,Outbound (0)
4663,0,Outbound (0)
4662,0,Outbound (0)
4660,1,Inbound (1)
4660,0,Outbound (0)
4656,1,Inbound (1)
4656,0,Outbound (0)
4654,1,Inbound (1)
4654,0,Outbound (0)
4652,1,Inbound (1)
4652,0,Outbound (0)
4650,1,Inbound (1)
4650,0,Outbound (0)
4648,1,Inbound (1)
4648,0,Outbound (0)
4641,1,Inbound (1)
4641,0,Outbound (0)
4638,1,Inbound (1)
4638,0,Outbound (0)
4634,1,Inbound (1)
4634,0,Outbound (0)
4628,1,Inbound (1)
4628,0,Outbound (0)
4627,1,Inbound (1)
4627,0,Outbound (0)
4625,1,Inbound (1)
4625,0,Outbound (0)
4622,1,Inbound (1)
4622,0,Outbound (0)
4620,1,Inbound (1)
4620,0,Outbound (0)
4618,1,Inbound (1)
4618,0,Outbound (0)
4616,1,Inbound (1)
4616,0,Outbound (0)
4612,1,Inbound (1)
4612,0,Outbound (0)
4610,1,Inbound (1)
4610,0,Outbound (0)
4608,1,Inbound (1)
4608,0,Outbound (0)
4606,1,Inbound (1)
4606,0,Outbound (0)
4604,1,Inbound (1)
4604,0,Outbound (0)
4602,1,Inbound (1)
4602,0,Outbound (0)
3771,1,Anti-Clockwise (1)
3771,0,Clockwise (0)
