runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,WKO00_TTh_20200626_20230429,U24-2,1,1,t_905218_b_25620_tn_0,14002601,t_935230_b_25620_tn_0,14002530
1000000,WKO00_MTWThF_20200626_20230429,3202,10,1,t_911075_b_25620_tn_0,14002601,t_911075_b_25620_tn_0,14006833
10000000,WKO00_Excpetion_Calendar_8,U2-01 4,100,1,t_561027_b_none_tn_0,14002170,t_561057_b_none_tn_0,14002170
10100000,WKO00_Excpetion_Calendar_8,U2-02 2,101,1,t_559896_b_none_tn_0,14008105,t_559886_b_none_tn_0,14008105
10200000,WKO00_Excpetion_Calendar_8,U2-03 16,102,1,t_699619_b_none_tn_0,14002170,t_560992_b_none_tn_0,14002170
10300000,WKO00_Excpetion_Calendar_8,U2-04 58,103,1,t_381169_b_none_tn_0,14001232,t_381127_b_none_tn_0,14001232
10400000,WKO00_Excpetion_Calendar_8,U2-05 4,104,1,t_560962_b_none_tn_0,14002170,t_699572_b_none_tn_0,14002530
10500000,WKO00_Excpetion_Calendar_8,U2-06 5,105,1,t_381115_b_none_tn_0,14001232,t_381177_b_none_tn_0,14001232
10600000,WKO00_Excpetion_Calendar_8,U2-07 11,106,1,t_380417_b_none_tn_0,14001212,t_380483_b_none_tn_0,14001212
10700000,WKO00_Excpetion_Calendar_8,U2-08 13,107,1,t_380037_b_none_tn_0,14008494,t_380002_b_none_tn_0,14008494
10800000,WKO00_Excpetion_Calendar_8,U2-09 10,108,1,t_699591_b_none_tn_0,14002509,t_699591_b_none_tn_0,14002170
10900000,WKO00_Excpetion_Calendar_8,U2-10 58AC,109,1,t_381131_b_none_tn_0,14001232,t_381183_b_none_tn_0,14001232
1100000,WKO00_MTWThF_20200626_20230429,3203,11,1,t_911081_b_25620_tn_0,14006833,t_911081_b_25620_tn_0,14002601
11000000,WKO00_Excpetion_Calendar_7,1201,110,1,t_911066_b_none_tn_0,14007039,t_911048_b_none_tn_0,14002788
11100000,WKO00_Excpetion_Calendar_7,202,111,1,t_701232_b_none_tn_0,14001491,t_701377_b_none_tn_0,14001491
11200000,WKO00_Excpetion_Calendar_7,205,112,1,t_701227_b_none_tn_0,14003793,t_701351_b_none_tn_0,14003793
11300000,WKO00_Excpetion_Calendar_7,208,113,1,t_701254_b_none_tn_0,14001491,t_701249_b_none_tn_0,14001491
11400000,WKO00_Excpetion_Calendar_7,2201,114,1,t_911082_b_none_tn_0,14006842,t_911043_b_none_tn_0,14002601
11500000,WKO00_Excpetion_Calendar_7,33054,115,1,t_560761_b_none_tn_0,14004347,t_560752_b_none_tn_0,14004347
11600000,WKO00_Excpetion_Calendar_7,U20-3,116,1,t_900022_b_none_tn_0,14004376,t_900074_b_none_tn_0,14006127
11700000,WKO00_Excpetion_Calendar_7,U22-1,117,1,t_909796_b_none_tn_0,14002701,t_909799_b_none_tn_0,14002701
11800000,WKO00_Excpetion_Calendar_7,U22-2,118,1,t_909795_b_none_tn_0,14002701,t_909801_b_none_tn_0,14002701
11900000,WKO00_Excpetion_Calendar_7,U22-3,119,1,t_909797_b_none_tn_0,14002701,t_909803_b_none_tn_0,14002701
1200000,WKO00_MTWThF_20200626_20230429,3204,12,1,t_911034_b_25620_tn_0,14008494,t_911034_b_25620_tn_0,14001774
12000000,WKO00_Excpetion_Calendar_7,U24-3,120,1,t_905225_b_none_tn_0,14003693,t_907213_b_none_tn_0,14003693
12100000,WKO00_MTWThF_20200625_20220507,20U1-1,121,1,t_998837_b_24857_tn_0,14002516,t_1064336_b_24857_tn_0,14008105
12200000,WKO00_MTWThF_20200625_20220507,20U1-10,122,1,t_1016877_b_24857_tn_0,14001491,t_1003504_b_24857_tn_0,14007566
