stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
14001000,1000,,20 Tupelo St,Hamilton City,-37.73612778,175.2333694,WKO00_1,,0,,Pacific/Auckland,,,0
14001013,1013,,126 Ellicot Rd,Hamilton City,-37.78697222,175.2395583,WKO00_1,,0,,Pacific/Auckland,,,0
14001015,1015,,202 Sandwich Rd,Hamilton City,-37.748328,175.248825,WKO00_1,,0,,Pacific/Auckland,,,0
14001017,1017,,86 Sandwich Rd,Hamilton City,-37.752474,175.255752,WKO00_1,,0,,Pacific/Auckland,,,0
14001020,1020,,12 Braid Rd,Hamilton City,-37.75761,175.259514,WKO00_1,,0,,Pacific/Auckland,,,0
14001021,1021,,605 Sealey St (hail2ride),Thames,-37.1383,175.547615,WKO00_6B,,0,,Pacific/Auckland,,,0
14001028,1028,,1340 Victoria St (Trevellyn Rest Home),Hamilton City,-37.770338,175.264772,WKO00_1,,0,,Pacific/Auckland,,,0
14001029,1029,,18 Fifth Ave,Hamilton City,-37.77194167,175.2949778,WKO00_1,,0,,Pacific/Auckland,,,0
14001030,1030,,River Rd (Proposed),Tuakau,-37.295374346088,174.9468599962,WKO00_5A,,0,,Pacific/Auckland,,,0
14001034,1034,,SH 26 (near Platt Rd) (hail2ride),,-37.778993,175.400829,WKO00_2B,,0,,Pacific/Auckland,,,0
14001036,1036,,611 Victoria St ,Hamilton City,-37.78390278,175.2798222,WKO00_CBD,,0,,Pacific/Auckland,,,0
14001038,1038,,967 Victoria St,Hamilton City,-37.77892778,175.2753,WKO00_CBD,,0,,Pacific/Auckland,,,0
14001043,1043,,Tristram St (Language Institute),Hamilton City,-37.786245,175.275319,WKO00_CBD,,0,,Pacific/Auckland,,,0
14001044,1044,,15C Chedworth Ave,Hamilton City,-37.752057,175.283707,WKO00_1,,0,,Pacific/Auckland,,,0
14001046,1046,,1755 Ohaupo Rd (near Greenhill Dr),Te Awamutu,-37.992757,175.328551,WKO00_3D,,0,,Pacific/Auckland,,,0
14001049,1049,,119 Discovery Dr,Hamilton City,-37.727786,175.255655,WKO00_1,,0,,Pacific/Auckland,,,0
14001054,1054,,211 Cambridge Rd (Caltex),Hamilton City,-37.800744,175.321231,WKO00_1,,0,,Pacific/Auckland,,,0
14001055,1055,,38 Lorne St (near Thames St),Morrinsville,-37.65881389,175.5271583,WKO00_3B,,0,,Pacific/Auckland,,,0
14001058,1058,,61 Bankwood Rd (Fairfield College),Hamilton City,-37.761453,175.276657,WKO00_1,,0,,Pacific/Auckland,,,0
14001065,1065,,221 Taharepa Rd,Taupo,-38.68551944,176.0961861,WKO00_9C,,0,,Pacific/Auckland,,,0
14001066,1066,,38 King St,Hamilton City,-37.787681588056,175.26808288967,WKO00_1,,0,,Pacific/Auckland,,,0
14001067,1067,,330 Cambridge Rd (near Riverlea Rd),Hamilton City,-37.804879,175.32586,WKO00_1,,0,,Pacific/Auckland,,,0
14001068,1068,,2 Nevada Rd,Hamilton City,-37.790159,175.326757,WKO00_1,,0,,Pacific/Auckland,,,0
14001069,1069,,139 Taharepa Rd (Tauhara Primary School),Taupo,-38.69205833,176.0993222,WKO00_9C,,0,,Pacific/Auckland,,,0
14001070,1070,,Avantidrome Northbound (St. Peters School Rd),Cambridge,-37.88918056,175.4330667,WKO00_2C,,0,,Pacific/Auckland,,,0
14001071,1071,,150 Masters Ave,Hamilton City,-37.793009,175.328093,WKO00_1,,0,,Pacific/Auckland,,,0
14001074,1074,,68 Masters Ave,Hamilton City,-37.79501944,175.3209806,WKO00_1,,0,,Pacific/Auckland,,,0
14001078,1078,,96 Hillcrest Rd,Hamilton City,-37.791113,175.317913,WKO00_1,,0,,Pacific/Auckland,,,0
14001080,1080,,66 Hyde Ave (Nawton Mall),Hamilton City,-37.78141944,175.2368389,WKO00_1,,0,,Pacific/Auckland,,,0
14001083,1083,,272 Clyde St (opp Hillcrest Warehouse),Hamilton City,-37.79014444,175.3091417,WKO00_1,,0,,Pacific/Auckland,,,0
14001089,1089,,Opp 27 Te Kowhai Rd E (Wingers Hamilton),Hamilton City,-37.744717,175.226622,WKO00_1,,0,,Pacific/Auckland,,,0
14001091,1091,,401 Grey St (outside Waikato Regional Council),Hamilton City,-37.792637,175.29303,WKO00_1,,0,,Pacific/Auckland,,,0
14001092,1092,,Tumate Mahuta Dr (near Tainui Bridge Rd),Huntly,-37.56623,175.157976,WKO00_3A,,0,,Pacific/Auckland,,,0
14001098,1098,,158 Pukete Rd,Hamilton City,-37.740884,175.239042,WKO00_1,,0,,Pacific/Auckland,,,0
14001099,1099,,44 Victoria St,Hamilton City,-37.79145556,175.287125,WKO00_CBD,,0,,Pacific/Auckland,,,0
14001100,1100,,430 Grey St,Hamilton City,-37.791984,175.292963,WKO00_1,,0,,Pacific/Auckland,,,0
14001101,1101,,Opp 1105 River Rd,Hamilton City,-37.742844,175.256741,WKO00_1,,0,,Pacific/Auckland,,,0
14001106,1106,,62 Dominion Rd,Hamilton City,-37.776371,175.236343,WKO00_1,,0,,Pacific/Auckland,,,0
14001109,1109,,271 Clyde St (Hillcrest Warehouse),Hamilton City,-37.790066,175.309058,WKO00_1,,0,,Pacific/Auckland,,,0
14001124,1124,,558 River Rd,Hamilton City,-37.769929,175.269975,WKO00_1,,0,,Pacific/Auckland,,,0
14001125,1125,,42 Lloyd Dr,Hamilton City,-37.775784,175.230762,WKO00_1,,0,,Pacific/Auckland,,,0
14001126,1126,,Alison St (opp Gower Park),Hamilton City,-37.80734722,175.2713722,WKO00_1,,0,,Pacific/Auckland,,,0
14001129,1129,,Silverdale Normal School (57 Silverdale Rd),Hamilton City,-37.793675,175.3294139,WKO00_1,,0,,Pacific/Auckland,,,0
14001130,1130,,211 Grandview Rd,Hamilton City,-37.78535,175.2298,WKO00_1,,0,,Pacific/Auckland,,,0
14001135,1135,,21 Wilson St,Hamilton City,-37.787379,175.3012,WKO00_1,,0,,Pacific/Auckland,,,0
14001138,1138,,184 Rifle Range Rd,Taupo,-38.68474,176.09379,WKO00_9C,,0,,Pacific/Auckland,,,0
14001139,1139,,44 Whatawhata Rd (Dinsdale Shops),Hamilton City,-37.7951577606113,175.245792643374,WKO00_1,,0,,Pacific/Auckland,,,0
14001141,1141,,69 Knighton Rd,Hamilton City,-37.791331,175.310222,WKO00_1,,0,,Pacific/Auckland,,,0
14001144,1144,,30 Tuhikaramea Rd,Hamilton City,-37.79608,175.24748,WKO00_1,,0,,Pacific/Auckland,,,0
14001145,1145,,167 Dinsdale Rd,Hamilton City,-37.792349,175.23701,WKO00_1,,0,,Pacific/Auckland,,,0
14001147,1147,,120 Killarney Rd,Hamilton City,-37.79495833,175.2584222,WKO00_1,,0,,Pacific/Auckland,,,0
14001161,1161,,400 Ulster St,Hamilton City,-37.772754,175.263953,WKO00_1,,0,,Pacific/Auckland,,,0
14001163,1163,,61 Anglesea St (opp Countdown),Hamilton City,-37.794689,175.286422,WKO00_CBD,,0,,Pacific/Auckland,,,0
14001166,1166,,9 Edinburgh Rd,Hamilton City,-37.793703,175.312454,WKO00_1,,0,,Pacific/Auckland,,,0
14001168,1168,,219A Killarney Rd,Hamilton City,-37.79498611,175.2499472,WKO00_1,,0,,Pacific/Auckland,,,0
14001170,1170,,180 Whatawhata Rd,Hamilton City,-37.79730278,175.2359583,WKO00_1,,0,,Pacific/Auckland,,,0
14001171,1171,,112 Avalon Dr (outside Turners),Hamilton City,-37.7719911498823,175.241204684691,WKO00_1,,0,,Pacific/Auckland,,,0
14001178,1178,,31 Bruce Ave,Hamilton City,-37.81786389,175.2883833,WKO00_1,,0,,Pacific/Auckland,,,0
14001181,1181,,Shakespeare St (opp Kingsley St) (hail2ride),Cambridge,-37.898804,175.479222,WKO00_3C,,0,,Pacific/Auckland,,,0
14001185,1185,,49 MacFarlane St,Hamilton City,-37.80141944,175.2933278,WKO00_1,,0,,Pacific/Auckland,,,0
14001187,1187,,2 Bartholomew Dr,Hamilton City,-37.777946,175.231828,WKO00_1,,0,,Pacific/Auckland,,,0
14001189,1189,,20 Lloyd Dr,Hamilton City,-37.774342,175.230586,WKO00_1,,0,,Pacific/Auckland,,,0
14001190,1190,,740 Te Rapa Rd (outside the Z Service Station),Hamilton City,-37.752302,175.240671,WKO00_1,,0,,Pacific/Auckland,,,0
14001191,1191,,Opp 1162 River Rd (Alandale Retirement Village),Hamilton City,-37.738379,175.251689,WKO00_1,,0,,Pacific/Auckland,,,0
14001196,1196,,Opp Countdown Putaruru,Putaruru,-38.04767,175.780794,WKO00_5C,,0,,Pacific/Auckland,,,0
14001200,1200,,94 Endeavour Ave (near Endeavour School),Hamilton City,-37.732873,175.252432,WKO00_1,,0,,Pacific/Auckland,,,0
14001203,1203,,Opp 23 Endeavour Ave,Hamilton City,-37.73748,175.257319,WKO00_1,,0,,Pacific/Auckland,,,0
14001204,1204,,1126 River Rd,Hamilton City,-37.739475,175.2546556,WKO00_1,,0,,Pacific/Auckland,,,0
14001208,1208,,185 Maeroa Rd,Hamilton City,-37.778433,175.259028,WKO00_1,,0,,Pacific/Auckland,,,0
14001212,1212,,Lynden Court East A (Chartwell Shopping Centre),Hamilton City,-37.75125833,175.2787778,WKO00_1,,0,,Pacific/Auckland,,,0
14001216,1216,,52 Hukanui Rd,Hamilton City,-37.759685,175.284696,WKO00_1,,0,,Pacific/Auckland,,,0
14001219,1219,,60 Grandview Rd,Hamilton City,-37.778166,175.240727,WKO00_1,,0,,Pacific/Auckland,,,0
14001220,1220,,22 Hamilton Rd (near Hall St) (hail2ride),Cambridge,-37.889545,175.459603,WKO00_3C,,0,,Pacific/Auckland,,,0
14001221,1221,,140 Clarkin Rd,Hamilton City,-37.76538,175.277591,WKO00_1,,0,,Pacific/Auckland,,,0
14001222,1222,,44 MacFarlane St,Hamilton City,-37.801755,175.293557,WKO00_1,,0,,Pacific/Auckland,,,0
14001223,1223,,Putaruru Countdown,Putaruru,-38.047172,175.780709,WKO00_5C,,0,,Pacific/Auckland,,,0
14001227,1227,,Opp Hakanoa St (Proposed),Huntly,-37.544510674007,175.15935559724,WKO00_3A,,0,,Pacific/Auckland,,,0
14001232,1232,,Lynden Court West (Chartwell Shopping Centre),Hamilton City,-37.751064,175.278454,WKO00_1,,0,,Pacific/Auckland,,,0
14001235,1235,,7 Foreman Rd (Wintec Rotokauri),Hamilton City,-37.761515,175.235216,WKO00_1,,0,,Pacific/Auckland,,,0
