timetable_id,stop_id,stop_sequence,stop_name,connected_routes
2,14001491,1,The Base (Platform B),"18/Te Rapa, 1/Pukete, 21/Northern Connector, 8/Frankton (Proposed), 9/Nawton, AR/Hamilton - Auckland Rail (Proposed), C/Comet, NRW/Night Rider West, O/Orbiter (Proposed)"
2,14001649,2,62 Church Rd (outside FlexFitness),"1/Pukete, O/Orbiter, O/Orbiter (Proposed)"
2,14004430,3,50 Church Rd,"1/Pukete, O/Orbiter, O/Orbiter (Proposed)"
2,14002166,4,7 Tupelo St (near Taksan Pl),1/Pukete
2,14001440,5,29 Moreland Ave,"1/Pukete, O/Orbiter, O/Orbiter (Proposed)"
2,14003572,6,41 Moreland Ave,"1/Pukete, O/Orbiter, O/Orbiter (Proposed)"
2,14005715,7,194 Pukete Rd,"1/Pukete, O/Orbiter, O/Orbiter (Proposed)"
2,14005068,8,190 Totara Dr,1/Pukete
2,14005804,9,154 Totara Dr,1/Pukete
2,14006224,10,124 Totara Dr,1/Pukete
2,14008763,11,90 Totara Dr,1/Pukete
2,14007263,12,76 Totara Dr,1/Pukete
2,14002321,13,12 Totara Dr,"18/Te Rapa, 1/Pukete"
2,14001015,14,202 Sandwich Rd,"18/Te Rapa, 1/Pukete"
2,14007725,15,136 Sandwich Rd,"18/Te Rapa, 1/Pukete"
2,14001017,16,86 Sandwich Rd,1/Pukete
2,14007738,17,40 Sandwich Rd,1/Pukete
2,14008302,18,16 Sandwich Rd,1/Pukete
2,14001020,19,12 Braid Rd,1/Pukete
2,14008042,20,164 Beerescourt Rd,1/Pukete
2,14004224,21,128 Beerescourt Rd,1/Pukete
2,14007470,22,58 Vercoe Rd,1/Pukete
2,14005753,23,8 Vercoe Rd,1/Pukete
2,14006742,24,198 Te Rapa Rd,"1/Pukete, 21/Northern Connector, C/Comet, NRW/Night Rider West"
2,14001028,25,1340 Victoria St (Trevellyn Rest Home),1/Pukete
