timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation
2,4622,1,20180701,20991231,0,0,0,0,0,1,0,Pukete,Saturday only,Inbound (1),horizontal
3,4622,1,20180701,20991231,0,0,0,0,0,0,1,Pukete,Sunday only,Inbound (1),horizontal
4,4622,0,20180701,20991231,1,1,1,1,1,0,0,Pukete,Weekday,Outbound (0),horizontal
5,4622,0,20180701,20991231,0,0,0,0,0,1,0,Pukete,Saturday only,Outbound (0),horizontal
6,4622,0,20180701,20991231,0,0,0,0,0,0,1,Pukete,Sunday only,Outbound (0),horizontal
7,4634,1,20180701,20991231,1,1,1,1,1,0,0,Silverdale,Weekday,Inbound (1),horizontal
8,4634,1,20180701,20991231,0,0,0,0,0,1,0,Silverdale,Saturday only,Inbound (1),horizontal
9,4634,1,20180701,20991231,0,0,0,0,0,0,1,Silverdale,Sunday only,Inbound (1),horizontal
10,4634,0,20180701,20991231,1,1,1,1,1,0,0,Silverdale,Weekday,Outbound (0),horizontal
11,4634,0,20180701,20991231,0,0,0,0,0,1,0,Silverdale,Saturday only,Outbound (0),horizontal
12,4634,0,20180701,20991231,0,0,0,0,0,0,1,Silverdale,Sunday only,Outbound (0),horizontal
13,4638,1,20180701,20991231,1,1,1,1,1,0,0,Dinsdale,Weekday,Inbound (1),horizontal
14,4638,1,20180701,20991231,0,0,0,0,0,1,0,Dinsdale,Saturday only,Inbound (1),horizontal
15,4638,1,20180701,20991231,0,0,0,0,0,0,1,Dinsdale,Sunday only,Inbound (1),horizontal
16,4638,0,20180701,20991231,1,1,1,1,1,0,0,Dinsdale,Weekday,Outbound (0),horizontal
17,4638,0,20180701,20991231,0,0,0,0,0,1,0,Dinsdale,Saturday only,Outbound (0),horizontal
18,4638,0,20180701,20991231,0,0,0,0,0,0,1,Dinsdale,Sunday only,Outbound (0),horizontal
19,9022,1,20180701,20991231,1,1,1,1,1,0,0,Flagstaff ,Weekday,Inbound (1),horizontal
20,9022,1,20180701,20991231,0,0,0,0,0,1,0,Flagstaff ,Saturday only,Inbound (1),horizontal
21,9022,1,20180701,20991231,0,0,0,0,0,0,1,Flagstaff ,Sunday only,Inbound (1),horizontal
25,4648,1,20180701,20991231,1,1,1,1,1,0,0,Chartwell,Weekday,Inbound (1),horizontal
26,4648,1,20180701,20991231,0,0,0,0,0,1,0,Chartwell,Saturday only,Inbound (1),horizontal
27,4648,1,20180701,20991231,0,0,0,0,0,0,1,Chartwell,Sunday only,Inbound (1),horizontal
31,4650,1,20180701,20991231,1,1,1,1,1,0,0,Mahoe,Weekday,Inbound (1),horizontal
32,4650,1,20180701,20991231,0,0,0,0,0,1,0,Mahoe,Saturday only,Inbound (1),horizontal
33,4650,1,20180701,20991231,0,0,0,0,0,0,1,Mahoe,Sunday only,Inbound (1),horizontal
34,4650,0,20180701,20991231,1,1,1,1,1,0,0,Mahoe,Weekday,Outbound (0),horizontal
35,4650,0,20180701,20991231,0,0,0,0,0,1,0,Mahoe,Saturday only,Outbound (0),horizontal
36,4650,0,20180701,20991231,0,0,0,0,0,0,1,Mahoe,Sunday only,Outbound (0),horizontal
