stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
rt12S2,NE 2nd Ave & N Polk St,Stop is on the Northwest corner of NE 2nd Ave & N Polk St,35.2150228,-101.8357089,,,
rt12S3,NW 2nd Ave & N Jackson St,Stop is on the Northwest corner of NW 2nd Ave & N Jackson St,35.215722,-101.840783,,,
rt12S4,NW 2nd Ave & N Jefferson St,Stop is on the Northeast corner of NW 2nd Ave & N Jefferson St,35.216181,-101.844238,,,
rt12S5,NW 4th Ave & N Hughes St,Stop is on the Northeast corner of NW 4th Ave & N Hughes St,35.218719,-101.847448,,,
rt12S6,N Hughes St & NW 6th Ave,Stop is on the Northeast corner of N Hughes St & NW 6th Ave,35.220832,-101.847191,,,
rt12S7,N Hughes St & Amarillo Blvd,Stop is on the East side of N Hughes St on the North bound lane. It sits in front of Toot N Totum,35.222417,-101.846965,,,
rt12S8,N Hughes St & NW 12th Ave,Stop is on the East side of N Hughes St on the North bound lane. It sits in front of vacant lot,35.22639172,-101.8470004,,,
rt12S9,N Hughes St & NW 16th Ave,Stop is on the East side of N Hughes St on the North bound lane. It sits in front of vacant lot,35.23053364,-101.8470193,,,
rt12S10,NW 18th Ave & N Hughes St,Stop is on NW 18th Ave on the West bound lane. It sits on the corner of the parking for the Jenkins Chapel Baptist Church,35.23249693,-101.8476977,,,
rt12S11,NW 18th Ave & N Ong St,Stop is on NW 18th Ave in front of the Charles E Warford Center,35.232489,-101.850147,,,
rt12S12,NW 18th Ave & N Travis St,Stop is on NW 18th Ave & sits in the West parking lot for Carver school,35.232501,-101.853621,,,
rt12S13,N Bonham St & NW 16th Ave,Stop is on N Bonham St on the West and North of NW 16th Ave,35.230151,-101.855502,,,
rt12S14,N Travis St & NW 14th Ave,Stop is on N Travis St on the West and North of NW 14th Ave,35.228043,-101.853287,,,
rt12S15,N Travis St & Amarillo Blvd (Dollar General),Stop is on N Travis St & Amarillo Blvd. It is West of Dollar General,35.222873,-101.853268,,,
rt12S16,601 Quail Creek Dr,Stop is at 601 Quail Creek Dr in front of the Islamic Center of Amarillo,35.21133801,-101.9110527,,,
rt12S17,Plumb Creek Dr & Tascosa Rd (At North End of Walmart),Stop is on Plumb Creek Dr at the North Entrance to Walmart,35.214123,-101.908209,,,
rt12S18,N Travis St & Amarillo Blvd (Dollar General),Stop is on N Travis St on the East side in front of the Dollar General,35.22286681,-101.8531102,,,
rt12S19,N Travis St & NW 14th Ave,Stop is on N Travis St on the East side and North of NW 14th Ave,35.22840181,-101.8531215,,,
rt12S20,N Bonham St & NW 16th Ave,Stop is on N Bonham St on the East side and South of NW 16th Ave,35.230208,-101.855348,,,
rt12S21,N Bonham St & NW 18th Ave,Stop is on N Bonham St on the East side and South of NW 18th Ave,35.23232219,-101.8553493,,,
rt12S22,NW 18th Ave & N Travis St,Stop is on NW 18th Ave on the South side and Southwest of Carver School,35.232363,-101.853379,,,
rt12S23,NW 18th Ave & N Hughes St,Stop is on NW 18th Ave on the South side and in front of Jenkins Chapel Baptist Church,35.232385,-101.847295,,,
rt12S24,N Hughes St & NW 16th Ave,Stop is on N Hughes St on the West side,35.23048654,-101.8471931,,,
rt12S25,N Hughes St & NW 12th Ave,Stop is on NW 12th Ave and West of North Hughes,35.2262379,-101.847373,,,
rt12S26,N Hughes St & NW 10th Ave,Stop is on N Hughes St on the West side and North of NW 10th Ave,35.22419832,-101.8471924,,,
rt12S27,N Hughes St & NW 9th Ave,Stop is on N Hughes St and South of NW 9th Ave,35.222847,-101.847233,,,
rt12S28,N Hughes St & NW 7th Ave,Stop is on N Hughes St and in front of North Heights Center,35.221545,-101.847316,,,
rt12S29,NW 3rd Ave & N Jefferson St,Stop is on NW 3rd Ave on the South side and West of N Jefferson St,35.21709824,-101.8442975,,,
rt12S30,NW 3rd Ave & N Jackson St,Stop is on NW 3rd Ave on the South side and West of N Taylor,35.216610,-101.840532,,,
TransferStation,Transfer Station (219 S Fillmore St),The Transfer Station is located on the Northeast corner of SE 3rd and S Filmore St,35.210581,-101.833547,,,
rt21S5,N Polk St & NE 10th Ave,This stop is on N Polk St & NE 10th Ave on the Southeast corner,35.22402445,-101.8340994,,,
rt21S6,NE 14th Ave & N Taylor St,This stop is on NE 14th Ave on the South side and on the North end of the parking lot for Hilltop Senior Citizens Association,35.2282079,-101.8330764,,,
rt21S7,NE 15th Ave & N Buchanan St,This stop is on NE 15th Ave and West of N Buchanan St on the Southwest corner,35.22925084,-101.8290722,,,
rt21S8,NE 15th Ave & N Grant St (Palo Duro High School),This stop is on NE 15th Ave and East of N Grant St on the Northwest corner of Palo Duro High School campus,35.22925946,-101.8249868,,,
rt21S9,NE 15th Ave & N Cleveland St,This stop is on NE 15th Ave and West of N Cleveland St on the Southwest corner,35.229308,-101.820248,,,
rt21S10,N Mirror St & NE 15th Ave,This stop is on N Mirror St and North of NE 15th Ave on the Northeast corner,35.22969107,-101.817582,,,
