stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2403864,,"Sunset North","service_type:commuter|is_hub:0|num_parking:90|stop_location_name:3120-3180 139th Ave SE|stop_location_city:Bellevue|stop_location_state:WA|stop_location_zipcode:98005|stop_location_country:USA|legacy_id:207696582",47.580944,-122.15492,,,0,,,0
2403866,,"Doppler (SEA40)","",47.614796,-122.338952,,,0,,,0
2403865,,"Brazil (SEA53)","",47.623196,-122.339679,,,0,,,0
2406032,,"Staples Lot","",47.760497,-122.175448,,,0,,,0
2407509,,"Everest Building","",47.674322,-122.193489,,,0,,,0
2409190,,"Overlake Church","service_type:commuter|is_hub:0|num_parking:200|stop_location_name:NE 100th Ct|stop_location_city:Redmond|stop_location_state:WA|stop_location_zipcode:98052|stop_location_country:USA|legacy_id:207696674",47.689037,-122.146506,,,0,,,0
2411491,,"Sammamish Parking","service_type:commuter|is_hub:0|num_parking:300|stop_location_name:5150 220th Ave SE|stop_location_city:Issaquah|stop_location_state:WA|stop_location_zipcode:98029|stop_location_country:USA|legacy_id:207696751",47.554438,-122.045893,,,0,,,0
2557442,,"TRB","",47.580368,-122.297158,,,0,,,0
2557443,,"Blackfoot (SEA33)","",47.615472,-122.33616,,,0,,,0
2557444,,"Arizona (SEA29)","",47.620072,-122.335861,,,0,,,0
2557445,,"Cricket (SEA20)","",47.62319,-122.336653,,,0,,,0
2558046,,"Bus Tunnel/Train Station","",47.597505,-122.326342,,,0,,,0
2558047,,"Houston/Roxanne (SEA49/SEA37)","",47.620866,-122.338076,,,0,,,0
2558190,,"Dawson (SEA27)","",47.62152,-122.335851,,,0,,,0
2560318,,"Prime (SEA36)","",47.6244756305297,-122.331718938658,,,0,,,0
2560329,,"Stackhouse (SEA57)","",47.6219733635136,-122.330848574638,,,0,,,0
2560377,,"Alexandria (SEA18)","",47.6150464546731,-122.332928011887,,,0,,,0
2560378,,"Galaxy (SEA69)","",47.625887,-122.367604,,,0,,,0
2558191,,"Brazil/Bigfoot/Nessie/Delight (SEA53/SEA38/SEA39/SEA59)","",47.623207,-122.339697,,,0,,,0
2563030,,"Convention Place","",47.613921,-122.331128,,,0,,,0
2563400,,"6th & Union (WAC)","",47.610349,-122.333078,,,0,,,0
